k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
10,10,84352.7,16671.8,165985,152588,139163,126144,103763,73,34724,33615,187512,184207,18928,25762,30268,933,27484,0,25827,30319,949,23629,5303,172246,192939,81030,176331,10,3622
10,10,88050.5,12763,144193,146724,129555,118615,100164,83,35136,34018,188049,184722,19335,25980,31538,864,28600,0,25980,31538,864,24957,6349,172246,192939,81030,176331,10,3622
10,10,68269.2,7260.3,104465,87831.3,80978,68409,59670,60,21628,20897,156020,153094,16163,19186,22369,492,20119,0,19186,22369,492,16662,3792,172246,192939,81030,176331,10,3622
10,10,96027.5,46482.2,145185,383697,354004,329120,291551,78,112140,109146,186765,183712,19660,41269,55187,1722,50902,0,41269,55187,1722,46077,15023,172246,192939,81030,176331,10,3622
10,10,59635.9,11612.9,90761,151827,118714,129652,93387,62,27799,26851,137409,134770,14533,21186,26429,590,24013,0,21186,26429,590,18458,5919,172246,192939,81030,176331,10,3622
10,10,103618,17292.7,150956,165123,143987,137365,111207,93,44568,43204,200082,196743,20429,28820,35314,1043,32243,0,28858,35200,1052,28009,7210,172246,192939,81030,176331,10,3622
10,10,70405.9,15492.6,110326,206783,156704,180520,128704,48,44093,42773,153536,150683,15877,21344,28279,662,25830,0,21320,28247,658,20512,7591,172246,192939,81030,176331,10,3622
10,10,78511.3,20857.7,99285.9,231447,214354,196140,174277,72,58783,57093,150204,147650,15426,29779,37630,1076,34385,0,29779,37630,1076,30247,8702,172246,192939,81030,176331,10,3622
10,10,95645,16232.9,128371,172698,160054,142578,123856,82,44038,42666,175745,172686,18445,27249,34861,786,31852,0,27249,34861,786,28239,8425,172246,192939,81030,176331,10,3622
10,10,88303.4,32698,120065,307072,295587,263911,246200,20,86858,84135,173274,170309,18190,35490,45891,1195,42138,0,35490,45891,1195,38229,11438,172246,192939,81030,176331,10,3622
