K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
10,10,81148.8,44569.5,370609,400742,318769,60,81014,78698,64526,302839,297887,289633,29510,1865241,51014,64703,56657,1961,180703,59245,15107,10,5576
10,10,87577.7,39055.9,350463,377385,316042,105,87913,85328,69746,306588,301715,294100,31137,1922673,40029,56103,49530,1539,142956,51715,17171,10,5576
10,10,81585.6,18428,322378,163893,125247,84,38547,37417,30708,316506,311281,304221,31554,1986958,33849,38665,33139,1099,123453,34922,5773,10,5576
10,10,109222,41641.4,441839,335953,261558,124,89661,86981,72343,349822,344620,337986,34090,2393615,60000,72672,64056,2012,242294,66415,14324,10,5576
10,10,90623.5,27450,308327,231789,177319,37,51469,49902,41108,310021,305105,295414,30829,1934070,40853,47981,41584,1176,151413,43599,8283,10,5576
10,10,111509,48179.3,380817,324043,246482,114,88277,85877,71584,356189,350942,344828,35319,2456773,59308,69867,61615,2368,251658,63750,12103,10,5576
10,10,55979.4,12723.6,289569,186802,154087,60,34364,33217,26293,253935,249278,237039,25671,1344380,27460,33576,28426,885,87230,30389,6993,10,5576
10,10,71877.2,22556.4,337998,260915,211451,81,48104,46611,37501,295568,290472,282298,29015,1801713,37768,46143,39580,1166,126649,41938,9528,10,5576
10,10,96525.4,72917.8,326605,575287,475123,93,136092,132319,110821,317342,312627,303521,30891,2024626,64333,82245,72743,2433,240742,75539,19642,10,5576
10,10,84278.8,45824.1,297770,394560,331064,88,90521,88009,73060,285127,280585,270349,29013,1719726,43447,56107,49507,1429,162916,51310,13815,10,5576
10,10,92572.1,52715.2,333565,430370,359609,90,103128,100235,82794,307744,303059,293416,31319,1920843,44507,61032,53992,1662,161812,56291,17703,10,5576
10,10,69369.8,14180.2,240925,160177,128777,22,29733,28798,22882,252600,248192,237060,26166,1434907,24991,30301,25709,579,79414,27391,6055,10,5576
10,10,60214.1,20560.2,292515,256216,213737,64,45339,43916,35144,264626,259931,248778,26610,1469599,32479,40246,34372,1129,105155,36621,8765,10,5576
10,10,76559.2,30632.8,240374,291354,239726,80,69316,67340,55250,272505,268033,258149,27997,1610356,34843,44434,38830,1162,126517,40659,10534,10,5576
