k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
3,3,28681.2,9425.38,28545.7,58884.7,20121.4,54044,16081,29,26541,25640,49686,48567,4496,4800,4872,95,4291,0,4954,5046,131,1323,263,227890,251314,106557,229824,10,4736
3,3,22975.1,12672.7,14220.6,16358.5,10904,15151,9668,25,35712,34553,29991,29309,2571,1399,1536,11,1348,0,1399,1536,11,865,179,227890,251314,106557,229824,10,4736
3,3,37145.4,53636.8,28820.3,88232.7,46798.7,81209,40309,38,115822,112731,53433,52288,5291,7215,7637,210,6812,0,7215,7637,210,3565,631,227890,251314,106557,229824,10,4736
3,3,28806.7,9564.11,25770.6,27885.9,20638,25633,18259,24,25991,25117,50294,49197,4736,2334,2530,47,2219,0,2334,2530,47,1459,279,227890,251314,106557,229824,10,4736
3,3,50436.9,47469.2,57920.6,146270,82034,134140,70628,50,110283,107285,91417,89692,9227,11363,12700,327,11470,0,11363,12700,327,6184,1705,227890,251314,106557,229824,10,4736
3,3,33414.7,13407.1,32612.4,55085.6,28817.1,50967,25061,34,36436,35298,60700,59389,5860,4387,4959,96,4441,0,4387,4959,96,2182,732,227890,251314,106557,229824,10,4736
3,3,34544,13000.2,37762.1,66454.8,35038.6,61520,30474,35,35663,34524,66435,65037,6462,5367,5973,126,5330,0,5367,5973,126,2698,796,227890,251314,106557,229824,10,4736
3,3,29884.6,22232.8,18528.2,27790.6,14369.3,25659,12548,12,54778,53241,37828,37034,3640,2110,2458,26,2186,0,2110,2458,26,1100,412,227890,251314,106557,229824,10,4736
3,3,27465.6,24469.2,19168.9,14120.2,8634.95,12974,7548,23,59946,58218,38286,37427,3638,1247,1329,8,1154,0,1247,1329,8,670,130,227890,251314,106557,229824,10,4736
3,3,22281.1,29890.5,12479.3,17214.4,9067.71,15831,7781,29,74132,71996,27424,26757,2473,1636,1671,44,1469,0,1636,1671,44,723,85,227890,251314,106557,229824,10,4736
3,3,17185.3,26235,4511.23,6218.98,3930.63,5805,3514,7,65843,64039,10427,10205,817,444,566,2,487,0,444,560,2,306,125,227890,251314,106557,229824,10,4736
3,3,22533.3,16638.4,6679.49,12295.1,10411.8,11334,9297,22,45076,43665,16126,15741,1392,1177,1235,10,1060,0,1177,1235,10,845,94,227890,251314,106557,229824,10,4736
3,3,18072.7,19398.7,7445.55,18263.8,7404.26,17016,6331,13,48977,47530,17384,16973,1401,1450,1625,13,1410,0,1505,1684,23,525,230,227890,251314,106557,229824,10,4736
3,3,19337.8,16020.7,6118,7024.15,5547.15,6499,4950,19,43195,41841,14413,14071,1095,694,720,6,611,0,694,720,6,457,44,227890,251314,106557,229824,10,4736
3,3,22679.7,11570.8,12820.9,18947,10577.2,17536,9277,15,33525,32417,28623,27935,2377,1562,1742,7,1536,0,1562,1742,7,818,240,227890,251314,106557,229824,10,4736
3,3,15575.3,22469.6,5278.73,10976.5,5866.35,10174,5146,12,56821,55169,12430,12105,895,894,1015,12,894,0,894,1010,12,456,152,227890,251314,106557,229824,10,4736
3,3,30614,13961.6,34550.1,18953.4,15400,17322,13717,17,36440,35315,58205,56940,5494,1779,1836,18,1586,0,1779,1836,18,1256,114,227890,251314,106557,229824,10,4736
3,3,19381.5,22466,5091.08,17190.8,9099.42,16107,8134,21,55088,53507,11985,11701,1000,1071,1204,6,1041,0,1071,1204,6,714,157,227890,251314,106557,229824,10,4736
3,3,36754.5,27638.1,23878,55916.9,47045.3,50680,41336,40,67521,65622,43045,42140,4307,5422,5381,110,4700,0,5413,5369,108,3859,126,227890,251314,106557,229824,10,4736
3,3,23149.6,19781.4,7319.44,14113.2,11730.5,13021,10405,22,48435,46958,16869,16470,1533,1349,1403,11,1202,0,1349,1403,11,920,92,227890,251314,106557,229824,10,4736
3,3,23689.4,18717.5,15031.2,23989.3,17776.9,21997,15747,18,49227,47763,31537,30821,2657,2119,2218,27,1959,0,2119,2218,27,1392,181,227890,251314,106557,229824,10,4736
3,3,48237.6,38944.2,32485,92445.4,77972.7,85120,69911,38,88867,86441,60181,59006,6523,7158,7953,157,7073,0,7158,7953,157,5439,1020,227890,251314,106557,229824,10,4736
3,3,30560.1,13848.1,24468,41189.4,19882.2,37946,17080,29,36142,35008,46738,45677,4356,3451,3783,65,3387,0,3451,3783,65,1570,453,227890,251314,106557,229824,10,4736
3,3,21807.7,31867.9,12647.2,16221.8,7354.19,15169,6512,6,66420,64436,26109,25448,2252,1040,1206,4,1064,0,922,1063,3,451,188,227890,251314,106557,229824,10,4736
3,3,29673.4,39379.2,27743.7,36729.8,25555.4,33814,22734,35,83416,81023,51579,50404,4920,3157,3380,83,3018,0,3157,3380,83,2051,324,227890,251314,106557,229824,10,4736
3,3,48593.8,45706.8,32757.3,71148.6,57178.4,65597,51309,38,98662,95914,57389,56268,6079,5415,6276,96,5595,0,5415,6276,96,4393,1045,227890,251314,106557,229824,10,4736
3,3,45534.1,41401.5,29854.7,59386.1,45373.9,54498,40367,35,85020,82532,56216,55111,5834,4808,5310,118,4680,0,4808,5310,118,3565,672,227890,251314,106557,229824,10,4736
3,3,38138.2,29589.8,46021.3,61301,41798.2,56227,35704,23,63079,61192,77748,76150,7650,5137,5508,49,4895,0,5137,5508,49,2781,549,227890,251314,106557,229824,10,4736
3,3,22347.8,12427.1,14092.6,16056.7,8791.09,14862,7669,4,30378,29402,27944,27263,2414,1120,1317,4,1149,0,1120,1317,4,614,256,227890,251314,106557,229824,10,4736
3,3,43990.1,46990.3,64095.4,61198.5,50119.9,55905,44769,25,100286,97601,89131,87427,8898,5176,5551,81,4943,0,5176,5551,81,3953,539,227890,251314,106557,229824,10,4736
3,3,38632.5,41438.8,37951.5,54029.6,37449.3,49810,33182,22,96017,93263,57344,56177,5819,4311,4699,106,4202,0,4311,4699,106,2930,553,227890,251314,106557,229824,10,4736
3,3,30045.1,13822.5,23549.4,37324.1,18527.7,34593,16043,31,37016,35812,46322,45267,4379,2573,3075,51,2788,0,2573,3075,51,1242,613,227890,251314,106557,229824,10,4736
3,3,33891.1,10889.6,39132.4,34657.5,27054.2,31861,24183,30,32071,31025,71125,69572,6843,2746,3133,44,2776,0,2746,3133,44,2148,476,227890,251314,106557,229824,10,4736
3,3,47953.6,43303,35376.6,81849.3,68549.9,75358,61315,37,86169,83835,59417,58249,6462,6424,7031,124,6203,0,6424,7031,124,5123,800,227890,251314,106557,229824,10,4736
3,3,26680.8,22672.2,21061.7,19506.8,11344.6,17954,9889,18,50638,49145,39881,39011,3700,1555,1725,5,1517,0,1555,1725,5,861,230,227890,251314,106557,229824,10,4736
3,3,31798.7,43316.4,23321.3,43600.6,20601.7,39921,17476,39,99972,97205,41208,40285,3954,3576,3819,22,3392,0,3576,3819,22,1503,377,227890,251314,106557,229824,10,4736
