k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
1,1,40985.1,65798,51048.1,29467.8,12495.7,23532,7251,28,109700,106802,69319,67937,7380,4953,4778,82,4210,0,4953,4778,82,1185,0,301056,346961,145174,317524,4,6412
1,1,24444.7,24460.2,13816.3,9692.93,1988.07,8461,1081,31,46947,45677,25069,24480,2316,1298,1248,24,1083,0,1298,1248,24,153,0,301056,346961,145174,317524,4,6412
1,1,6425.6,48429.1,668.973,478.761,207.605,400,146,4,87257,84986,1803,1743,62,101,94,0,78,0,101,94,0,29,0,301056,346961,145174,317524,4,6412
1,1,6745.3,21210.9,975.038,765.526,331.336,650,211,11,34126,33297,2774,2700,111,162,158,0,131,0,162,158,0,34,0,301056,346961,145174,317524,4,6412
1,1,11514.1,8274.31,3352.57,1211.42,524.779,1068,389,10,18414,17873,8181,7953,516,221,211,1,176,0,221,211,1,59,0,301056,346961,145174,317524,4,6412
1,1,29999.8,11516.3,48925,20952.8,7654.35,16787,4482,35,26837,26052,74855,73182,7043,3999,3849,122,3439,0,3999,3849,122,912,0,301056,346961,145174,317524,4,6412
1,1,11033.5,54788.9,2229.05,1296.83,578.844,1060,412,4,91386,89029,5154,5014,318,258,244,0,211,0,258,244,0,76,0,301056,346961,145174,317524,4,6412
1,1,38147.5,51713.2,44788.6,23813.7,9550.93,19150,5936,33,96087,93543,69602,68175,7340,4358,4207,77,3695,0,4358,4207,77,1028,0,301056,346961,145174,317524,4,6412
1,1,3458.48,8413.31,157.536,102.798,55.308,89,39,4,19687,19138,518,500,6,27,26,0,16,0,27,26,0,8,0,301056,346961,145174,317524,4,6412
1,1,23666.2,8309.82,22312.6,5465.2,1739.23,4563,1104,15,21568,20895,44419,43394,4033,1038,1008,17,864,0,1038,1008,17,199,0,301056,346961,145174,317524,4,6412
1,1,35801.8,20117.1,41697.4,28051.3,10392.3,23617,6919,12,41827,40624,65108,63775,6553,4314,4159,63,3628,0,5126,4941,128,1195,0,301056,346961,145174,317524,4,6412
1,1,52663.9,27442.2,112621,10126.2,2938.02,8699,1890,14,57004,55389,141284,138715,14896,1736,1661,2,1424,0,1736,1661,2,347,0,301056,346961,145174,317524,4,6412
1,1,37964,12019.7,62404,28752,9978.03,23702,6161,40,22804,22078,85605,83903,8509,4716,4547,128,4030,0,4716,4547,128,1013,0,301056,346961,145174,317524,4,6412
1,1,34802.1,39445.4,58767.9,28287.6,8582.99,23688,5409,39,69036,67206,86919,85112,8721,4318,4177,124,3703,0,4318,4177,124,958,0,301056,346961,145174,317524,4,6412
1,1,37191.3,59631.3,37756.9,18331.8,6546.41,15720,4355,20,108516,105690,53646,52543,5679,3174,3068,38,2711,0,3174,3068,38,769,0,301056,346961,145174,317524,4,6412
1,1,13778.6,13357.8,4247.57,2217.9,874.888,1992,674,6,22134,21530,6960,6787,528,210,207,0,162,0,210,207,0,79,0,301056,346961,145174,317524,4,6412
1,1,31759.4,14305,61876.8,11084,3663.36,9056,2238,33,35630,34705,88095,86237,8746,2084,2033,35,1760,0,2084,2033,35,448,0,301056,346961,145174,317524,4,6412
1,1,16829.9,15220.8,9107.7,3321.39,777.072,2866,448,13,32782,31914,20874,20359,1637,609,586,3,488,0,609,586,3,79,0,301056,346961,145174,317524,4,6412
1,1,25258.9,6569.5,26482.2,7666.59,2238.79,6533,1404,27,17953,17384,51572,50447,4904,1489,1433,22,1229,0,1489,1433,22,253,0,301056,346961,145174,317524,4,6412
1,1,53841.7,19736.2,70943,74496.3,43150.1,61940,28379,19,44656,43391,116615,114531,12392,12406,12061,277,10623,0,18669,18098,993,4981,0,301056,346961,145174,317524,4,6412
1,1,16190.4,21126.5,7587.63,1352.91,426.461,1101,252,9,50021,48726,17885,17407,1424,278,267,0,221,0,278,267,0,52,0,301056,346961,145174,317524,4,6412
1,1,49404.3,36595.1,42158.4,7415.44,2856.31,6104,1873,7,75252,73220,74382,72967,8310,1431,1377,0,1190,0,1431,1377,0,365,0,301056,346961,145174,317524,4,6412
1,1,17938.9,14129.4,10924.8,1040.65,386.84,906,253,4,30251,29474,24453,23908,1992,209,203,0,166,0,207,201,0,44,0,301056,346961,145174,317524,4,6412
1,1,25711.8,6141.95,28827.9,10808.1,3920.76,8714,2533,28,16097,15571,55540,54331,5189,2031,1971,43,1730,0,2031,1971,43,494,0,301056,346961,145174,317524,4,6412
1,1,47298,22028.8,78129.9,22249.3,6866.7,19308,4218,30,50610,49180,122915,120629,12935,4076,3940,66,3410,0,4076,3940,66,764,0,301056,346961,145174,317524,4,6412
1,1,18615.3,12913.1,12055.1,6082.09,2248.36,5086,1508,17,28462,27707,26376,25787,2068,1164,1124,26,976,0,1164,1124,26,276,0,301056,346961,145174,317524,4,6412
1,1,16478.8,9867.27,8596.41,1965.91,676.208,1642,433,7,22940,22285,20159,19666,1451,381,362,0,317,0,381,362,0,83,0,301056,346961,145174,317524,4,6412
1,1,45696.2,22833,105830,34319.8,11635.1,29116,7310,36,55793,54166,156097,153145,15756,6156,5982,201,5294,0,6156,5982,201,1315,0,301056,346961,145174,317524,4,6412
1,1,30323,10823.3,43199.5,12031.7,3959.14,9993,2484,23,28423,27543,79261,77565,7682,2248,2187,86,1906,0,2248,2187,86,464,0,301056,346961,145174,317524,4,6412
1,1,19139.7,46695.4,10132.1,5490.43,1984.01,4449,1288,20,96286,93832,21875,21321,1852,1071,1023,17,896,0,1071,1023,17,258,0,301056,346961,145174,317524,4,6412
1,1,40502.5,10752.7,49641.4,21430.4,8710.41,18495,6329,21,26384,25639,86612,84982,8993,3852,3746,81,3274,0,3428,3331,79,1117,0,301056,346961,145174,317524,4,6412
1,1,28721,14482.1,38448.5,10862.5,4199.46,8735,2640,21,35654,34658,71252,69704,6946,2061,1978,32,1751,0,2061,1978,32,523,0,301056,346961,145174,317524,4,6412
1,1,6934.45,14087.8,538.926,510.862,339.372,454,273,5,30054,29275,1589,1551,71,100,97,0,78,0,100,97,0,47,0,301056,346961,145174,317524,4,6412
1,1,19770.2,6142.99,17027.9,1088.4,468.679,902,308,4,17068,16546,28998,28329,2484,217,210,0,175,0,217,210,0,64,0,301056,346961,145174,317524,4,6412
1,1,45074.5,24405.5,96506.2,46194.7,14939.4,37946,9179,52,58796,57169,143110,140334,14396,7644,7419,274,6556,0,7644,7419,274,1761,0,301056,346961,145174,317524,4,6412
1,1,34274.3,19502.7,30446.8,19552.3,5843.4,17143,3683,48,42657,41438,57401,56214,5749,3560,3438,109,3015,0,3560,3438,109,655,0,301056,346961,145174,317524,4,6412
1,1,26002.7,10722.8,28824.4,7877.09,2703.68,6365,1681,23,28361,27558,55602,54371,5128,1577,1526,37,1325,0,1577,1526,37,354,0,301056,346961,145174,317524,4,6412
1,1,18943.8,16134.7,12449.9,3439.27,799.635,2994,426,14,34741,33848,27290,26664,2267,653,633,6,532,0,653,633,6,77,0,301056,346961,145174,317524,4,6412
1,1,32880.7,10973.7,49901,13695.1,4204.92,11477,2595,27,28045,27213,85681,83911,8793,2584,2492,44,2174,0,2584,2492,44,494,0,301056,346961,145174,317524,4,6412
1,1,35650.6,7567.78,51647,22879.5,7838.37,18394,4664,37,20070,19395,76069,74512,7606,4429,4267,120,3800,0,4429,4267,120,980,0,301056,346961,145174,317524,4,6412
1,1,17749.8,29154.5,5178.48,3224.52,612.851,2823,281,8,58041,56572,11889,11596,940,613,585,7,512,0,613,585,7,57,0,301056,346961,145174,317524,4,6412
1,1,38460.5,19254,44460.7,17554.8,6316.08,15018,4198,17,44432,43165,72016,70604,7352,3177,3064,48,2681,0,3062,2955,48,720,0,301056,346961,145174,317524,4,6412
1,1,29459.6,25172.6,42204.9,13597.9,4709.86,10831,2889,34,58839,57307,73214,71633,7150,2635,2545,71,2216,0,2635,2545,71,594,0,301056,346961,145174,317524,4,6412
1,1,41824.1,17677.2,76301.3,31472.3,12624.1,26453,8214,59,36771,35654,108424,106272,10881,5673,5497,150,4825,0,5673,5497,150,1273,0,301056,346961,145174,317524,4,6412
1,1,46103.6,24318.6,100654,43095.8,15481.3,34401,9269,53,58965,57327,149397,146519,14960,8030,7797,294,6891,0,8030,7797,294,1853,0,301056,346961,145174,317524,4,6412
1,1,21819.3,18066.5,14755.5,7773.79,1859.46,6790,1061,35,39807,38736,30760,30045,2871,1447,1393,38,1217,0,1447,1393,38,191,0,301056,346961,145174,317524,4,6412
1,1,46962.8,22179.5,98427.7,2913.07,1056.58,2413,669,6,51703,50280,132685,130187,13778,562,542,0,468,0,562,542,0,125,0,301056,346961,145174,317524,4,6412
1,1,25897.5,10256.7,28908.6,9919.49,3486.73,8001,2149,34,26131,25443,55915,54696,5152,1899,1846,21,1631,0,1899,1846,21,438,0,301056,346961,145174,317524,4,6412
1,1,11401,25941,3252.2,2850.8,871.193,2337,510,15,57620,56104,8048,7823,538,573,558,12,484,0,573,558,12,110,0,301056,346961,145174,317524,4,6412
1,1,17643.2,6413.46,9853.86,3113.46,899.991,2562,536,20,15864,15382,22855,22293,1977,627,605,4,520,0,627,605,4,110,0,301056,346961,145174,317524,4,6412
1,1,15009.1,9466.23,6351.66,3126.68,1063.9,2665,698,16,21000,20398,15039,14677,1112,635,610,8,507,0,635,610,8,123,0,301056,346961,145174,317524,4,6412
1,1,39794.3,17937.3,94903.2,19638.8,6072.72,16327,3645,44,43756,42478,133813,131143,13596,3536,3428,75,3006,0,3536,3428,75,683,0,301056,346961,145174,317524,4,6412
1,1,52273.9,28868.3,120173,27750.1,9593.71,23690,6136,20,65130,63225,161963,158963,16595,4964,4798,139,4224,0,4964,4798,139,1095,0,301056,346961,145174,317524,4,6412
1,1,36414.4,7967.38,39483.3,14913.6,7789.42,12835,5736,17,20921,20318,70847,69461,7243,2694,2632,36,2303,0,2694,2632,36,920,0,301056,346961,145174,317524,4,6412
1,1,46767.2,17924.5,76965,45494.5,16012.9,38242,9975,62,43036,41772,118548,116246,11882,8156,7917,275,6966,0,8156,7917,275,1754,0,301056,346961,145174,317524,4,6412
1,1,54807,31857.2,88625.2,37651.8,10553.6,32662,6440,35,60166,58495,133178,130770,14198,6000,5809,100,5062,0,6000,5809,100,1144,0,301056,346961,145174,317524,4,6412
1,1,36686,12130.7,36679.9,13313.6,4609.51,10758,2776,13,29010,28139,65627,64315,6831,2572,2485,43,2204,0,2572,2485,43,580,0,301056,346961,145174,317524,4,6412
1,1,9209.43,7682.5,1639.55,341.107,158.575,290,111,4,18265,17766,4651,4518,263,75,76,0,56,0,75,76,0,21,0,301056,346961,145174,317524,4,6412
1,1,48397.3,26593.7,94706.5,9428.25,3279.01,7973,2109,6,58671,57004,141453,138777,14770,1703,1648,9,1440,0,1703,1648,9,389,0,301056,346961,145174,317524,4,6412
1,1,49793.5,23550.9,77202.3,31537.5,12956.3,27291,8123,40,52543,51048,122657,120387,13084,5708,5526,135,4850,0,5708,5526,135,1138,0,301056,346961,145174,317524,4,6412
1,1,18437.6,31968.5,11210.2,6792.31,2093.56,5865,1426,25,59022,57458,24867,24218,2038,803,775,14,658,0,803,775,14,186,0,301056,346961,145174,317524,4,6412
1,1,25455.9,3323.28,18863.9,9357.87,4151.76,8188,3016,18,9736,9408,37221,36451,3590,1727,1667,36,1455,0,1727,1667,36,541,0,301056,346961,145174,317524,4,6412
1,1,17746.5,11831.2,11086.5,2874.74,1206.51,2396,837,6,26049,25346,24095,23533,1923,557,538,0,470,0,557,538,0,153,0,301056,346961,145174,317524,4,6412
1,1,56050.9,28910.2,96704.4,17836.3,5361.77,15507,3327,19,63819,62016,144770,142142,15363,3320,3184,46,2743,0,3320,3184,46,612,0,301056,346961,145174,317524,4,6412
1,1,37433.9,33245.1,61609.1,30200.5,10180.3,25254,6096,41,65189,63355,96316,94366,9804,4976,4808,148,4274,0,4976,4808,148,1075,0,301056,346961,145174,317524,4,6412
1,1,32570.6,13470.7,54916.2,11924.2,3827.21,9704,2277,35,34435,33401,93534,91537,9235,2269,2195,52,1905,0,2269,2195,52,434,0,301056,346961,145174,317524,4,6412
1,1,42969.8,44263.7,53050.2,30311.4,9426.55,24991,5686,48,95106,92445,88956,87158,9048,5123,4960,124,4335,0,5123,4960,124,1102,0,301056,346961,145174,317524,4,6412
1,1,30987.9,14795.4,50577.7,16513.2,6081.88,13315,3795,36,35373,34411,84027,82213,7942,3068,2957,78,2611,0,3068,2957,78,757,0,301056,346961,145174,317524,4,6412
1,1,20167.9,6991.91,8556.2,4207.63,1959.55,3655,1430,11,17147,16645,18702,18272,1652,780,763,6,661,0,780,763,6,252,0,301056,346961,145174,317524,4,6412
1,1,35335.2,15678.4,63828.8,15229.4,5226.42,12808,3334,22,37810,36659,106075,103932,10461,2785,2706,71,2389,0,2785,2706,71,593,0,301056,346961,145174,317524,4,6412
1,1,27387.3,14920.9,28468.6,11268.3,3789.67,9502,2482,20,34052,33117,50556,49472,4844,2005,1945,34,1719,0,2005,1945,34,453,0,301056,346961,145174,317524,4,6412
