K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
1,1,7733.9,13225.8,1051.21,805.936,736,9,32080,31136,24709,2447,2378,1922,82,6369,91,86,53,0,171,68,0,8,4736
1,1,12367.8,32377.3,2778.66,1037.55,945,5,70701,68699,56765,6196,6029,5198,424,19122,114,113,68,0,201,92,0,8,4736
1,1,25927.8,20431.3,21630.3,12916.8,11585,27,50360,48867,39858,38485,37599,33550,3456,142289,1352,1312,976,27,3163,1154,0,8,4736
1,1,8896.67,43064.4,1378.92,1238.98,1122,7,96954,94240,78447,3278,3167,2548,140,8603,145,141,85,0,223,120,0,8,4736
1,1,13525.5,24041.3,2302.38,2771.7,2540,5,50136,48747,39400,5021,4913,4302,315,18752,308,300,196,2,485,252,0,8,4736
1,1,18933.9,20289,4799.89,5390.72,4892,15,46332,45075,37299,10327,10098,8914,860,34770,597,579,403,3,1376,474,0,8,4736
1,1,15352,23172,5044.64,5593.86,5104,14,56040,54350,44105,11567,11251,9625,865,36832,610,588,400,6,1329,524,0,8,4736
1,1,18934.9,24713.4,8631.67,3849.25,3490,18,58825,57087,46891,18908,18413,16057,1537,63371,452,434,300,1,895,369,0,8,4736
1,1,32689.5,49005.8,28125.7,24451.5,21797,22,88623,86191,71980,49560,48496,44312,4850,207657,2516,2433,1859,46,6560,2141,0,8,4736
1,1,9079.79,14728.7,1410.85,867.861,796,3,38349,37217,30155,3571,3465,2833,188,9342,105,100,54,0,145,79,0,8,4736
1,1,15730.6,28980.3,5044.32,1794.69,1639,6,68088,66242,54985,10471,10219,9018,765,38784,195,190,120,0,353,156,0,8,4736
1,1,9937.53,18446,1098.09,2596.16,2372,10,42574,41402,34077,2692,2621,2166,154,9529,298,285,185,0,640,244,0,8,4736
1,1,8291.28,39654.7,643.769,865.824,783,10,89924,87339,72735,1820,1761,1393,76,4875,114,108,59,0,138,85,0,8,4736
1,1,33207.2,53336.7,21498.9,28607.2,25702,36,114231,111156,93441,38605,37722,34569,3687,171801,3066,2963,2280,96,8919,2618,0,8,4736
1,1,18738.6,17656.1,6425.24,5041.54,4558,17,39051,37949,31032,13909,13592,12137,1130,47297,562,534,370,4,1175,461,0,8,4736
1,1,15072.9,23182.5,5335.8,6702.61,6173,12,50084,48745,40120,11167,10885,9394,766,33949,621,605,430,7,1449,534,0,8,4736
1,1,31322,24377.1,38590,11513.2,10285,20,53694,52182,42715,60418,59140,53459,5726,243494,1256,1204,835,18,2778,1030,0,8,4736
1,1,15768.2,14498.1,8144.6,6021.2,5589,14,35689,34647,27966,12886,12580,10902,974,40988,496,476,309,9,1012,409,0,8,4736
1,1,24300.4,21923.4,17406.4,3836.65,3455,8,50415,48918,39834,32643,31894,28465,2979,119317,436,419,287,0,883,360,0,8,4736
1,1,11581.3,24668.2,2686.5,2939.64,2678,8,49349,47925,39219,6335,6170,5221,341,19270,314,305,206,4,734,260,0,8,4736
1,1,34110.9,36782.8,24957.3,9852.49,8838,10,79722,77448,64545,37519,36700,33399,3715,158589,1054,1017,747,14,2753,861,0,8,4736
1,1,26895.6,44565,10819,14900.8,13410,20,98005,95353,80031,21795,21294,19069,1998,82512,1632,1558,1160,43,4424,1364,0,8,4736
1,1,8255.97,23969.2,794.082,589.195,534,8,57147,55536,45687,2013,1966,1626,85,6238,69,68,42,0,163,55,0,8,4736
1,1,3747.43,33510.2,156.638,247.77,222,4,77230,75020,61742,466,450,304,7,951,36,35,16,0,42,24,0,8,4736
1,1,11664.6,23506.1,2507.53,1198.26,1085,7,58098,56415,46045,6116,5952,4977,353,18208,147,143,87,0,303,118,0,8,4736
1,1,6526.02,17603.8,615.743,976.826,906,8,43018,41762,34015,1748,1711,1320,49,4027,98,97,61,0,142,79,0,8,4736
1,1,13786.2,23025.9,2454.9,3776.68,3427,7,55738,54172,44363,5601,5471,4799,386,20161,434,419,302,4,866,353,0,8,4736
1,1,21554.1,21406.9,12258.3,10030.2,9070,18,54284,52698,43055,25563,24953,21960,2154,90623,1107,1071,775,16,2548,937,0,8,4736
1,1,27025.1,55011.2,11105.6,14837.6,13427,24,111685,108505,90772,22448,21923,19588,2047,87475,1650,1586,1168,27,4127,1396,0,8,4736
1,1,11494.2,34831.6,2521.55,2550.59,2316,14,70984,69047,57090,6122,5940,5012,356,17544,285,282,182,1,587,248,0,8,4736
1,1,5794.39,17930,422.407,579.735,531,6,40749,39597,32391,1018,981,754,37,2846,72,69,41,0,108,51,0,8,4736
1,1,21194.3,19525.2,12734.1,11814.2,10377,27,40738,39495,31609,25173,24601,21679,2125,89574,1104,1074,794,14,2596,940,0,8,4736
1,1,7908.12,16937.5,802.979,1109.61,1019,8,40387,39221,32189,2097,2032,1677,92,5555,128,125,76,0,213,102,0,8,4736
1,1,16159.3,50328.2,7537.9,3686.76,3391,5,110405,107354,89603,10363,10094,8870,760,40877,314,302,203,0,570,258,0,8,4736
1,1,24636.3,25037.9,16580.5,17108.8,15452,22,60437,58770,48600,30701,30025,27150,2772,119691,1842,1780,1352,40,4751,1557,0,8,4736
1,1,22307.1,64352.1,8473.51,9565.25,8649,23,134291,130495,109535,16503,16097,14538,1564,71010,1077,1035,760,16,2535,899,0,8,4736
1,1,15200.9,15079.7,5569.49,5371.15,4934,16,40095,38839,31191,11681,11370,9793,840,37664,534,511,356,8,1146,443,0,8,4736
1,1,5354.44,15673.8,315.129,349.204,317,4,40909,39705,31936,954,920,673,25,1999,46,45,22,0,47,33,0,8,4736
1,1,9070.01,38149.8,1199.93,840.547,763,8,84659,82269,68289,3386,3274,2689,201,8444,106,103,63,0,213,81,0,8,4736
1,1,8669.68,11592.1,1065.46,763.305,691,5,31587,30603,24308,3054,2954,2383,144,7922,91,87,52,0,122,67,0,8,4736
1,1,17879.9,24922.7,7148.42,3302.58,3011,17,59984,58221,48005,16227,15784,13740,1245,52810,362,348,235,0,703,298,0,8,4736
1,1,13809.3,14613,4169.56,4124.67,3732,21,37903,36747,29327,9374,9130,7838,622,28700,463,442,305,6,970,388,0,8,4736
1,1,27046.7,22829.5,28380,15400.3,13960,25,49867,48457,39597,42892,41949,37514,3811,161938,1527,1474,1087,22,3470,1279,0,8,4736
