         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         1,   8542.72,    105510,    207182,   2774.37,       182,      2638,       143,         0,   1753.13,      4681,   17373.3,     45280,    446514,    413370,    188905,    374639,        15,      8385
         1,    6572.6,   64567.2,    140579,   2119.97,       128,      2024,       101,         0,   1128.63,      3309,   11669.9,     34606,    446514,    413370,    188905,    374639,        15,      8385
         1,   8226.83,   89147.7,    183552,   1480.89,       101,      1417,        78,         0,   1859.42,      5283,     21000,     53960,    446514,    413370,    188905,    374639,        15,      8385
         1,   10028.2,   69329.3,    150576,   7627.77,       470,      7271,       378,         0,   3739.78,      8121,   28816.1,     73095,    446514,    413370,    188905,    374639,        15,      8385
         1,   6382.66,   93377.1,    196842,   3373.02,       208,      3218,       171,         0,   1038.12,      3120,   11477.8,     34362,    446514,    413370,    188905,    374639,        15,      8385
         1,   19261.1,   91158.4,    201443,   4681.06,       303,      4423,       242,         0,   17443.1,     35943,    119869,    252324,    446514,    413370,    188905,    374639,        15,      8385
         1,   8190.56,    132029,    262312,   539.929,        56,       509,        32,         0,   1543.54,      4777,   18754.6,     50134,    446514,    413370,    188905,    374639,        15,      8385
         1,   5154.69,    117657,    224020,   1140.91,        70,      1088,        59,         0,   497.718,      1646,   6792.96,     20048,    446514,    413370,    188905,    374639,        15,      8385
         1,   5799.22,     57502,    128862,   1335.73,        69,      1283,        50,         0,   867.469,      2260,   8364.06,     23661,    446514,    413370,    188905,    374639,        15,      8385
         1,   11727.4,    111177,    233194,   10608.5,       646,     10084,       544,         0,    4256.5,     11086,   38026.8,     95995,    446514,    413370,    188905,    374639,        15,      8385
         1,   12575.6,     48071,    111371,   11398.3,       691,     10867,       571,         0,   5876.82,     14030,   48703.8,    115230,    446514,    413370,    188905,    374639,        15,      8385
         1,   17520.5,   55351.8,    125770,   15850.5,       958,     15070,       795,         0,   13871.4,     29985,    101072,    219559,    446514,    413370,    188905,    374639,        15,      8385
         1,   14220.1,   51100.8,    121099,   10298.8,       594,      9825,       493,         0,   8802.74,     19672,   69325.8,    151395,    446514,    413370,    188905,    374639,        15,      8385
         1,   11876.3,    127425,    259814,   3549.86,       227,      3378,       183,         0,    3232.3,      8135,   29782.5,     81876,    446514,    413370,    188905,    374639,        15,      8385
         1,   27354.5,    213649,    398485,   15060.1,       929,     14283,       759,         0,   18640.9,     36021,    152709,    325538,    446514,    413370,    188905,    374639,        15,      8385
         1,   10061.1,    120049,    246952,   3136.74,       222,      2972,       175,         0,   2739.95,      6935,   28115.4,     72760,    446514,    413370,    188905,    374639,        15,      8385
         1,   31504.4,    183688,    354924,   43118.3,      2446,     40708,      2054,         0,   31033.3,     53361,    227671,    433020,    446514,    413370,    188905,    374639,        15,      8385
         1,   27558.8,    242034,    431166,   59030.5,      3495,     55918,      3015,         0,   13751.2,     27594,    122739,    274125,    446514,    413370,    188905,    374639,        15,      8385
         1,   6284.09,   61540.2,    141932,   2607.28,       172,      2495,       134,         0,   897.388,      2876,   11882.6,     35677,    446514,    413370,    188905,    374639,        15,      8385
         1,   17601.9,    160504,    322332,   11029.7,       724,     10484,       585,         0,   10829.7,     21551,   81980.8,    180965,    446514,    413370,    188905,    374639,        15,      8385
         1,   14920.8,   93249.9,    205792,   6834.11,       438,      6493,       355,         0,   8014.47,     18376,   62635.6,    152907,    446514,    413370,    188905,    374639,        15,      8385
         1,   5453.59,   60022.5,    143106,   2433.68,       161,      2324,       124,         0,   500.831,      1771,   7246.68,     21653,    446514,    413370,    188905,    374639,        15,      8385
         1,   12857.6,    128634,    267054,   5472.95,       304,      5230,       254,         0,   6274.08,     13564,   54613.1,    126320,    446514,    413370,    188905,    374639,        15,      8385
         1,   23655.2,    110395,    238874,   46373.1,      2799,     43794,      2366,         0,   25602.4,     45356,    158263,    324632,    446514,    413370,    188905,    374639,        15,      8385
         1,   14187.6,   54296.9,    124372,   4835.41,       281,      4605,       241,         0,   8265.95,     18789,   68466.5,    147123,    446514,    413370,    188905,    374639,        15,      8385
         1,   14347.5,   98938.5,    216622,   6618.94,       451,      6299,       351,         0,   6762.66,     15928,   57417.7,    144878,    446514,    413370,    188905,    374639,        15,      8385
         1,   8971.42,   53769.8,    122537,   3684.92,       222,      3518,       177,         0,   2096.76,      5870,   21169.2,     60463,    446514,    413370,    188905,    374639,        15,      8385
         1,   23341.4,   85218.1,    192219,   32842.1,      1943,     31047,      1671,         0,   22141.3,     43800,    150423,    308863,    446514,    413370,    188905,    374639,        15,      8385
         1,   8192.63,   69454.9,    166684,   2306.47,       153,      2204,       115,         0,   1754.79,      4973,   17014.2,     52240,    446514,    413370,    188905,    374639,        15,      8385
         1,   16573.4,    102664,    225660,   1868.56,       138,      1774,        87,         0,   8060.99,     18212,   67853.3,    166645,    446514,    413370,    188905,    374639,        15,      8385
         1,   14629.2,   94490.2,    203511,   13772.5,       848,     13116,       685,         0,   8641.24,     19236,   69048.5,    160727,    446514,    413370,    188905,    374639,        15,      8385
         1,   11155.2,    139462,    279674,   567.094,        68,       531,        36,         0,    3942.3,     10087,     39091,     96566,    446514,    413370,    188905,    374639,        15,      8385
         1,   6658.34,    121891,    236529,   1848.38,       128,      1764,        99,         0,   914.612,      3029,   11872.9,     34052,    446514,    413370,    188905,    374639,        15,      8385
         1,   12347.2,   51972.1,    119285,   3652.21,       203,      3504,       170,         0,   5286.55,     12933,     44915,    110985,    446514,    413370,    188905,    374639,        15,      8385
         1,   5246.78,   83241.2,    176538,   2419.01,       148,      2318,       118,         0,   510.542,      1736,   7318.88,     21717,    446514,    413370,    188905,    374639,        15,      8385
         1,   17308.1,   59671.1,    144971,   3401.83,       207,      3231,       178,         0,   14315.9,     30257,    102846,    219536,    446514,    413370,    188905,    374639,        15,      8385
         1,   33481.5,    138674,    290431,    118633,      6809,    111413,      5855,         0,   40627.6,     71249,    294776,    568148,    446514,    413370,    188905,    374639,        15,      8385
         1,     10336,     68635,    150883,   3361.14,       230,      3203,       174,         0,   3614.96,      8565,   33074.1,     84690,    446514,    413370,    188905,    374639,        15,      8385
         1,   28165.6,    198959,    391525,   6673.52,       447,      6342,       358,         0,   19726.3,     37784,    151155,    326448,    446514,    413370,    188905,    374639,        15,      8385
         1,   5917.51,   61904.1,    147227,   1735.45,       120,      1659,        89,         0,     669.8,      2287,   8909.78,     28262,    446514,    413370,    188905,    374639,        15,      8385
         1,   8767.11,    113197,    241460,   5829.53,       352,      5578,       293,         0,   2153.84,      5068,   21033.5,     51639,    446514,    413370,    188905,    374639,        15,      8385
         1,   22165.6,    163764,    328339,    947.57,        99,       884,        53,         0,     16630,     31882,    121069,    257335,    446514,    413370,    188905,    374639,        15,      8385
         1,   5936.64,    157769,    296192,   1584.35,       106,      1515,        80,         0,   762.759,      2169,   7895.06,     23788,    446514,    413370,    188905,    374639,        15,      8385
         1,     28738,    124745,    268589,   81305.8,      4786,     76639,      4110,         0,   29511.6,     56147,    207786,    421131,    446514,    413370,    188905,    374639,        15,      8385
         1,   3379.14,    100206,    214450,   555.612,        46,       530,        30,         0,   191.211,       688,   2957.42,      8572,    446514,    413370,    188905,    374639,        15,      8385
         1,   9353.88,    121596,    255616,      2202,       149,      2107,       111,         0,    2247.9,      6629,     25315,     66609,    446514,    413370,    188905,    374639,        15,      8385
         1,   19581.9,    104283,    227557,   15585.4,       970,     14825,       797,         0,   14122.5,     28976,    103291,    224676,    446514,    413370,    188905,    374639,        15,      8385
         1,   7867.92,    157165,    292281,   4478.73,       262,      4296,       212,         0,   1447.76,      3977,   15982.4,     46186,    446514,    413370,    188905,    374639,        15,      8385
         1,   5633.41,   61090.8,    142514,   1646.12,        94,      1580,        74,         0,   606.094,      1917,   7498.91,     22864,    446514,    413370,    188905,    374639,        15,      8385
         1,   15628.2,   33095.4,     88951,   15309.5,       933,     14544,       780,         0,     11056,     23675,   77820.6,    178829,    446514,    413370,    188905,    374639,        15,      8385
         1,     31558,    119964,    259464,     39780,      2369,     37712,      2008,         0,     43205,     73785,    264462,    504275,    446514,    413370,    188905,    374639,        15,      8385
         1,   7955.33,   57195.1,    130017,   3527.12,       233,      3368,       186,         0,    1560.8,      4436,   15513.5,     46090,    446514,    413370,    188905,    374639,        15,      8385
         1,   24156.1,    234042,    431000,   47957.6,      2868,     45523,      2427,         0,   11313.1,     23918,    104118,    232710,    446514,    413370,    188905,    374639,        15,      8385
         1,   3694.09,   99903.3,    211605,   1512.65,        92,      1446,        72,         0,   245.356,       827,    4386.2,     13090,    446514,    413370,    188905,    374639,        15,      8385
         1,   8683.49,   33869.3,     87925,   4419.54,       275,      4210,       218,         0,   2161.06,      5941,   21181.8,     59930,    446514,    413370,    188905,    374639,        15,      8385
         1,     15517,    170599,    324384,   16835.7,      1032,     16026,       868,         0,   9920.59,     21014,   69938.2,    158527,    446514,    413370,    188905,    374639,        15,      8385
         1,   13125.6,   49389.4,    117323,   8272.57,       491,      7875,       412,         0,   7634.08,     15285,   54491.2,    121176,    446514,    413370,    188905,    374639,        15,      8385
