         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,  cost_ki0,   gen_ki0,   cost_ki,    gen_ki, cost_poly,  gen_poly,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,  cost_hi2,   gen_hi2,    hcost2,    hcall2,   hreuse2,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys
         5,   42717.8,         5,         5,       107,         0,         0,    763756,1.00823e+06,    207286,    232766,    2966.5,      8193,    2318.5,      8193,   87886.1,      7516,     79108,      8633,       909,      2315,   94656.6,     10145,     84370,      8904,       889,    101412,     83390,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   48439.6,         5,         5,       117,         0,         0,    475649,    842990,     87331,    134279,   7722.59,     17204,   6195.29,     17204,    146855,     16518,    130382,     15829,      1816,      1597,    149277,     18239,    131894,     15955,      1770,   83039.4,     72165,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   58520.3,         5,         5,       150,         0,         0,    914348,1.2649e+06,    271779,    292560,   8471.47,     20881,   7505.07,     20881,    166025,     17704,    148263,     17549,      1894,      2293,    163853,     19868,    144920,     17417,      1833,    194464,    146443,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   46855.4,         5,         5,       159,         0,         0,    541204,    969187,    100032,    145896,   8130.99,     21832,   7035.51,     21832,    190536,     18280,    171061,     18748,      2129,      3185,    194811,     21395,    173698,     18635,      2104,   73590.6,     70243,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   55207.5,         5,         5,       122,         0,         0,    896347,1.23611e+06,    303800,    316977,   6378.17,     15753,   5263.96,     15753,    136231,     14084,    121568,     14288,      1621,      2272,    139893,     16668,    123965,     14586,      1569,    186481,    146977,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   74290.2,         5,         5,       149,         0,         0,    990670,1.4653e+06,    244796,    295204,   27353.8,     57543,   26696.1,     57543,    514757,     47058,    454706,     47099,      4807,      6073,    500385,     52130,    436324,     46131,      4706,    186502,    153354,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   36171.1,         5,         5,        84,         0,         0,    324359,    598209,   61108.6,     98400,   2875.22,      7789,   2329.47,      7789,   77518.5,      7568,     69403,      7610,       873,      1172,   76694.1,      8954,     68157,      7796,       860,   43907.6,     42536,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   71816.7,         5,         5,       281,         0,         0,1.05218e+06,1.50622e+06,    298945,    332879,   33938.6,     70415,   31864.6,     70415,    634399,     53178,    554648,     54218,      5435,      7896,    619263,     59949,    537661,     53093,      5320,    301714,    200012,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   40357.3,         5,         5,       144,         0,         0,    611736,    897387,    153909,    193215,    5159.6,     14254,   4582.21,     14254,    125359,     13351,    112319,     13176,      1512,      1748,    130431,     15170,    116238,     13227,      1473,   76025.9,     72039,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
         5,   49359.3,         5,         5,       145,         0,         0,    849826,1.1645e+06,    265225,    291459,   5973.85,     15435,   5142.85,     15435,    132959,     14301,    118653,     14196,      1634,      1979,    132214,     16180,    117505,     14119,      1558,    140564,    119189,    437406,    413227,    188905,    374568,    134320,         0,         0,        10,      8385
