         k,      dist, cost_poly,  gen_poly,   cost_hi,    gen_hi,     hcost,     hcall,reevaluate,   cost_ki,    gen_ki,  cost_ki0,   gen_ki0,  cost_pre,   gen_pre,   edgecnt,    damcnt,       pts,     polys
         7,   46487.5,   68248.1,    127837,    284389,     19042,    261175,     19512,      3325,    150477,    179053,    626968,    887024,    474712,    413370,    188905,    374639,        15,      8385
         7,   66737.3,    219302,    385773,    790756,     45041,    729320,     49625,     10265,    183741,    222908,    864230,1.29808e+06,    474712,    413370,    188905,    374639,        15,      8385
         7,     60700,    174360,    335016,    564508,     35371,    519723,     38059,      7394,    145629,    189794,    679790,1.10383e+06,    474712,    413370,    188905,    374639,        15,      8385
         7,   41618.2,   89616.4,    182454,    214765,     14426,    199539,     14625,      2338,    120525,    156117,    523841,    795211,    474712,    413370,    188905,    374639,        15,      8385
         7,     44761,   90152.6,    172064,    268950,     16833,    250010,     18072,      3668,    147645,    178808,    565459,    882567,    474712,    413370,    188905,    374639,        15,      8385
         7,   49010.3,    100976,    208068,    554963,     30591,    515836,     34313,      7822,    151760,    188702,    661571,1.02869e+06,    474712,    413370,    188905,    374639,        15,      8385
         7,   43096.2,   48976.6,    114562,    273208,     16795,    254471,     18005,      3781,    141761,    186214,    589499,    886204,    474712,    413370,    188905,    374639,        15,      8385
         7,   66909.6,    181656,    328652,    778212,     43396,    717933,     47123,      9603,    226840,    243521,    839465,1.26607e+06,    474712,    413370,    188905,    374639,        15,      8385
         7,   36044.5,   61900.9,    138322,    170758,      9812,    159884,     11172,      2886,   71457.5,    110312,    385727,    657296,    474712,    413370,    188905,    374639,        15,      8385
         7,   44110.4,   49081.1,    111605,    154952,      8770,    145178,     10224,      2814,    106199,    144320,    515848,    815155,    474712,    413370,    188905,    374639,        15,      8385
         7,   44471.9,    103468,    187920,    398649,     23243,    367924,     24876,      4852,    145409,    178283,    562606,    887034,    474712,    413370,    188905,    374639,        15,      8385
         7,   32241.1,   72808.8,    138122,    225565,     12243,    207784,     12653,      2185,   93793.4,    114516,    368353,    605054,    474712,    413370,    188905,    374639,        15,      8385
         7,   58897.4,    133567,    240828,    741285,     41415,    674961,     43270,      7589,    197599,    212221,    709606,1.16644e+06,    474712,    413370,    188905,    374639,        15,      8385
         7,   28944.6,   73865.1,    149882,    183998,     10506,    171860,     11538,      2553,   66474.1,     87814,    275653,    498368,    474712,    413370,    188905,    374639,        15,      8385
         7,   33996.6,   34290.9,     89356,    201348,     12858,    187372,     13354,      2549,   91252.8,    137613,    435812,    695576,    474712,    413370,    188905,    374639,        15,      8385
         7,   45304.3,   91710.8,    165660,    419572,     26809,    386504,     27046,      3941,    149853,    184100,    585000,    862623,    474712,    413370,    188905,    374639,        15,      8385
         7,   35818.7,   44303.4,     96630,    288042,     14172,    267335,     15893,      3838,    135343,    154060,    455431,    763170,    474712,    413370,    188905,    374639,        15,      8385
         7,   37985.8,   66768.2,    151771,    237892,     13317,    222922,     14998,      3666,    119234,    144783,    439063,    749436,    474712,    413370,    188905,    374639,        15,      8385
         7,   55304.8,    122276,    259303,    590093,     30548,    550312,     35662,      9233,    161807,    203419,    787003,1.2206e+06,    474712,    413370,    188905,    374639,        15,      8385
         7,   41816.1,    113144,    181557,    234029,     13775,    215812,     14331,      2577,    120882,    158016,    536805,    799758,    474712,    413370,    188905,    374639,        15,      8385
         7,   40088.5,   39142.2,     98523,    375489,     22897,    347707,     23102,      3477,    162536,    203200,    616031,    910405,    474712,    413370,    188905,    374639,        15,      8385
         7,   38535.6,   58524.3,    123643,    227296,     14192,    210062,     15161,      3008,    147491,    175363,    576742,    831300,    474712,    413370,    188905,    374639,        15,      8385
         7,   58221.9,    210810,    298887,    692136,     39157,    640964,     43326,      9395,    166179,    191816,    694690,1.12771e+06,    474712,    413370,    188905,    374639,        15,      8385
         7,   38440.7,   84339.3,    154593,    275587,     16473,    252837,     17246,      3179,    128813,    143443,    459795,    750124,    474712,    413370,    188905,    374639,        15,      8385
         7,     44732,   95705.2,    170858,    288583,     16747,    266535,     18031,      3711,    176132,    176469,    558208,    871376,    474712,    413370,    188905,    374639,        15,      8385
         7,   57467.3,   99716.2,    201837,    262215,     12120,    243939,     15354,      5140,    144452,    182297,    644413,1.05093e+06,    474712,    413370,    188905,    374639,        15,      8385
         7,   32014.6,   39228.1,     96278,    181555,     10054,    168836,     10811,      2302,   83683.4,    121950,    388358,    636799,    474712,    413370,    188905,    374639,        15,      8385
         7,   45064.3,   62655.1,    142956,    385087,     24077,    357075,     25081,      4469,    152943,    185216,    592620,    917801,    474712,    413370,    188905,    374639,        15,      8385
