k,order,dist,cost_polyanya,cost_ki,cost_hi,cost_hi2,h_cost,h_cost2,vnum,gen_poly,push_poly,gen_ki,push_ki,prune_ki,gen_hi,push_hi,prune_hi,hcall,reevaluate,gen_hi2,push_hi2,prune_hi2,hcall2,reevaluate2,precost,gen_pre,edgecnt,damcnt,pts,polys
5,5,99409.8,58795.7,435253,302797,240878,235854,169784,88,110521,107705,381379,375926,36376,44959,51865,1849,47128,0,44959,51857,1849,38422,8001,363284,377290,158601,345117,6,6974
5,5,71129.8,44817.8,218437,383004,248841,314383,175909,68,97535,94698,259825,255555,26678,53967,60731,2005,55475,0,53964,60730,2005,36255,8259,363284,377290,158601,345117,6,6974
5,5,51747.8,13210.8,236793,113466,86659.6,92063,62647,23,33504,32547,270857,266000,27226,18749,21727,422,19581,0,18749,21727,422,13626,3504,363284,377290,158601,345117,6,6974
5,5,92193.3,20595.8,401484,131871,121173,99454,84347,32,46852,45540,403588,397514,38499,27559,29848,653,26884,0,27559,29848,653,23725,3041,363284,377290,158601,345117,6,6974
5,5,76465.8,32727.3,296672,79004.3,68203.2,63408,50149,19,50365,48930,315854,310740,31669,12307,14444,169,12937,0,12307,14444,169,10136,2549,363284,377290,158601,345117,6,6974
5,5,52905.5,14011.8,205839,84666.4,71078,66653,51202,34,35765,34641,235891,231722,23957,16521,18746,492,16862,0,16521,18746,492,13069,2770,363284,377290,158601,345117,6,6974
5,5,52948.9,18476.7,196573,133675,116291,105315,84709,57,46187,44829,218790,214963,22321,22507,24834,709,22212,0,22507,24834,709,17713,2995,363284,377290,158601,345117,6,6974
5,5,64086.5,22762,240599,97022.2,80633.7,76174,58299,40,52233,50736,274972,270314,27919,18618,21034,546,18938,0,18618,21034,546,15114,2984,363284,377290,158601,345117,6,6974
5,5,73951.1,20227.2,364820,104880,92951.2,83101,64424,21,39883,38762,363018,357165,35976,17917,20215,354,18169,0,17917,20215,354,14414,2819,363284,377290,158601,345117,6,6974
5,5,70819.2,21839.2,327247,109217,76607.4,88848,55171,21,46204,44899,317284,312030,31532,15861,18979,465,17223,0,15861,18979,465,12256,3618,363284,377290,158601,345117,6,6974
