K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
5,16641.9,91470.6,37600.5,32121,9,2511,118720,112787,12243,598645,200,5901,4683,59,11629,1303,0.00228609
5,29325,91470.6,37600.5,32121,31,2511,118720,112787,12243,598645,200,5901,4683,59,11629,1303,0.00228609
5,36829.9,91470.6,37600.5,32121,22,2511,118720,112787,12243,598645,200,5901,4683,59,11629,1303,0.00228609
5,42221.9,91470.6,37600.5,32121,7,2511,118720,112787,12243,598645,200,5901,4683,59,11629,1303,0.00228609
5,60111.1,91470.6,37600.5,32121,9,2511,118720,112787,12243,598645,200,5901,4683,59,11629,1303,0.00228609
5,16070.6,68130.5,56152.3,46768,7,2062,104653,98805,10983,525107,262,9257,7396,118,23870,1216,0.00228609
5,20866.3,68130.5,56152.3,46768,10,2062,104653,98805,10983,525107,262,9257,7396,118,23870,1216,0.00228609
5,21256.5,68130.5,56152.3,46768,20,2062,104653,98805,10983,525107,262,9257,7396,118,23870,1216,0.00228609
5,65996.5,68130.5,56152.3,46768,32,2062,104653,98805,10983,525107,262,9257,7396,118,23870,1216,0.00228609
5,66748.5,68130.5,56152.3,46768,15,2062,104653,98805,10983,525107,262,9257,7396,118,23870,1216,0.00228609
5,19684,99649.4,102332,86487,16,2662,138569,132685,15029,771219,470,15319,12718,301,38934,2581,0.00228609
5,27333.7,99649.4,102332,86487,16,2662,138569,132685,15029,771219,470,15319,12718,301,38934,2581,0.00228609
5,59971.9,99649.4,102332,86487,46,2662,138569,132685,15029,771219,470,15319,12718,301,38934,2581,0.00228609
5,60242.4,99649.4,102332,86487,17,2662,138569,132685,15029,771219,470,15319,12718,301,38934,2581,0.00228609
5,88095.3,99649.4,102332,86487,20,2662,138569,132685,15029,771219,470,15319,12718,301,38934,2581,0.00228609
5,23027.6,58636.2,106566,91676,10,1791,87150,82191,9000,425879,407,15498,12881,329,38596,2551,0.00228609
5,33110.3,58636.2,106566,91676,14,1791,87150,82191,9000,425879,407,15498,12881,329,38596,2551,0.00228609
5,58059.5,58636.2,106566,91676,40,1791,87150,82191,9000,425879,407,15498,12881,329,38596,2551,0.00228609
5,64422.1,58636.2,106566,91676,47,1791,87150,82191,9000,425879,407,15498,12881,329,38596,2551,0.00228609
5,65252.9,58636.2,106566,91676,4,1791,87150,82191,9000,425879,407,15498,12881,329,38596,2551,0.00228609
5,6968.28,78236,66894.6,55826,8,2057,102029,96917,10985,530584,362,11227,9081,259,26684,1539,0.00228609
5,32784.4,78236,66894.6,55826,15,2057,102029,96917,10985,530584,362,11227,9081,259,26684,1539,0.00228609
