K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
1,20746.8,706.67,1096.7,1008,5,62,2013,1664,82,5505,9,114,75,0,158,0,0.00952381
1,41849.5,2858.36,5893.18,5259,10,176,6304,5663,533,21506,32,473,316,0,1116,0,0.00952381
1,4833.65,44.107,215.214,199,3,9,137,86,0,204,5,30,13,0,23,0,0.00952381
1,1861.66,8.82,39.667,37,2,6,31,14,0,27,5,9,3,0,2,0,0.00952381
1,8304.11,132.947,259.882,239,6,22,392,273,4,964,5,32,17,0,39,0,0.00952381
1,14876.4,659.944,1266.99,1159,9,65,1549,1219,66,4294,8,107,70,0,209,0,0.00952381
1,11052.2,247.495,468.871,431,11,32,692,503,13,1645,7,51,32,0,105,0,0.00952381
1,10279.7,307.437,517.696,477,5,31,835,613,18,1936,7,55,31,0,111,0,0.00952381
1,2159.43,10.643,86.103,81,4,6,41,21,0,55,6,11,5,0,7,0,0.00952381
1,17811.9,964.54,2857.17,2653,9,109,2529,1987,108,6630,19,247,154,0,432,0,0.00952381
1,14850.9,528.603,1159.66,1071,9,52,1229,1016,43,4215,11,108,66,1,171,0,0.00952381
1,26848.6,1979.69,1195.85,1094,5,127,4448,3962,260,14555,10,125,78,0,246,0,0.00952381
1,7554.25,96.139,435.76,396,5,20,291,185,1,590,8,39,19,0,44,0,0.00952381
1,20670.5,1449.85,2159.66,1983,8,123,2831,2391,154,8133,13,213,150,4,532,0,0.00952381
1,14800.1,518.155,776.288,716,4,70,1445,1081,54,3275,8,79,52,0,136,0,0.00952381
1,14386.9,518.567,815.967,756,9,52,1398,1081,35,3585,6,72,40,0,90,0,0.00952381
1,21215.7,1061.22,2148.53,1975,9,90,2600,2222,142,8682,14,213,142,1,457,0,0.00952381
1,12158.1,292.885,582.512,535,6,43,990,725,26,2103,9,68,33,0,81,0,0.00952381
1,32512.8,2194.34,5919.22,5449,17,134,5249,4727,371,17785,19,525,377,3,1146,0,0.00952381
1,15020.3,595.294,732.996,678,10,84,1618,1250,60,4093,8,80,43,0,93,0,0.00952381
1,18845.5,1125.17,320.818,292,5,101,2608,2094,126,7413,6,49,21,0,61,0,0.00952381
1,19202.9,838.853,2317.52,2147,12,88,2637,2192,102,7160,16,215,135,0,453,0,0.00952381
1,17243.1,638.809,606.075,567,10,95,2229,1747,91,5583,8,60,30,0,83,0,0.00952381
1,12523.4,278.515,690.617,640,9,36,725,549,16,2133,7,65,41,0,114,0,0.00952381
1,15536,707.639,631.865,584,6,62,1914,1549,83,5087,8,72,45,0,117,0,0.00952381
1,47399.3,2609.58,17017.4,15544,24,171,6842,6163,578,23502,41,1337,1024,9,3426,0,0.00952381
1,5785.29,44.527,179.395,163,4,13,135,84,1,247,6,28,10,0,22,0,0.00952381
1,13915.2,622.157,659.99,611,8,43,1109,917,35,3769,8,62,36,0,97,0,0.00952381
1,6534.97,57.818,124.984,115,3,14,187,118,3,265,7,17,5,0,12,0,0.00952381
1,2179.26,11.776,41.361,38,2,8,42,19,0,57,5,11,5,0,6,0,0.00952381
1,9181.92,231.553,164.571,151,3,24,429,316,9,1033,6,20,8,0,18,0,0.00952381
1,14351.2,726.18,1831.63,1712,11,83,1535,1179,45,3907,13,145,84,2,228,0,0.00952381
1,26742.9,1566.17,2523.53,2328,15,106,3373,2826,196,10102,17,223,148,0,390,0,0.00952381
1,10145.9,202.926,418.52,390,4,33,672,488,16,1437,6,41,21,0,53,0,0.00952381
1,16864,759.691,1404.13,1298,9,66,1808,1471,79,5576,9,132,90,0,272,0,0.00952381
1,12533.2,293.064,670.634,615,5,49,973,713,23,2166,10,71,44,0,145,0,0.00952381
1,5215,28.786,96.15,88,4,8,106,56,0,113,6,16,5,0,9,0,0.00952381
1,22111.7,1482.93,3961.11,3640,11,114,3770,3166,228,10799,11,343,236,4,807,0,0.00952381
1,12530.4,524.254,1454.04,1362,8,51,1162,892,36,2790,9,120,74,0,181,0,0.00952381
1,15800.8,805.121,988.109,917,11,101,1909,1506,83,4866,11,89,49,0,133,0,0.00952381
1,13087.1,392.734,683.086,636,6,35,884,707,27,2230,7,68,40,0,133,0,0.00952381
1,17140.5,973.532,2183.3,2012,15,75,2406,1970,102,6631,10,194,127,0,420,0,0.00952381
1,2866.72,11.355,52.113,47,2,8,50,25,0,72,5,11,4,0,4,0,0.00952381
1,27082.5,1218.83,1840.86,1691,10,94,3093,2608,182,9146,14,189,122,7,321,0,0.00952381
1,5623.45,51.154,287.025,268,3,14,149,76,2,251,7,26,10,0,26,0,0.00952381
1,18951.7,1026.75,2921.41,2690,12,102,2946,2430,149,7992,12,231,157,0,512,0,0.00952381
1,8328.99,131.123,219.246,202,5,17,375,244,2,779,9,29,15,0,32,0,0.00952381
1,4511.65,27.995,42.657,38,2,8,100,52,0,116,7,14,3,0,6,0,0.00952381
1,11163.6,376.918,942.784,874,9,45,873,659,25,2088,11,89,50,1,191,0,0.00952381
1,22343.5,903.856,1448.29,1324,9,75,2438,2077,123,7544,9,138,91,0,304,0,0.00952381
1,31974.8,1916.5,4446.39,4119,16,117,4579,3982,293,14592,14,372,269,5,789,0,0.00952381
1,9688.76,223.117,440.412,413,9,41,603,422,13,1176,9,40,22,0,59,0,0.00952381
1,51993.2,3459.72,22958.1,20824,26,198,7231,6492,589,25399,64,1931,1497,20,5261,0,0.00952381
1,2172.13,9.611,51.981,48,2,7,33,17,0,36,6,13,4,0,4,0,0.00952381
1,8530.41,135.018,104.276,94,3,23,370,270,6,867,7,19,8,0,20,0,0.00952381
1,3458.34,23.264,167.636,150,3,10,73,37,0,97,5,15,6,0,14,0,0.00952381
1,26893.9,1740.34,3785.37,3505,16,112,4254,3697,263,13082,19,347,237,1,769,0,0.00952381
1,19288.2,1331.85,2869.18,2639,13,109,3103,2574,161,8661,12,256,171,0,581,0,0.00952381
1,4756.07,58.371,96.239,89,3,11,131,74,0,215,5,11,4,0,8,0,0.00952381
1,26894.1,1871.41,2867.52,2658,12,152,4022,3426,270,12436,14,259,174,0,557,0,0.00952381
1,16280.7,768.592,1124.87,1048,6,85,1956,1554,75,5209,7,95,55,0,166,0,0.00952381
1,16190.6,645.669,1049.55,970,10,59,1657,1342,66,4183,11,104,64,0,155,0,0.00952381
1,11076.5,254.106,490.374,451,5,43,770,550,19,1608,8,55,24,0,60,0,0.00952381
1,9539.51,142.972,406.204,381,9,42,558,385,9,1050,8,40,23,0,60,0,0.00952381
1,15754,689.481,490.921,456,8,94,1817,1423,71,4476,7,58,32,0,85,0,0.00952381
1,18120,803.235,579.207,532,8,68,2064,1725,81,5748,9,66,39,0,89,0,0.00952381
1,17369,717.694,1019.46,945,11,77,2157,1757,113,5999,9,100,63,0,159,0,0.00952381
1,16229.2,695.072,1199.06,1100,11,76,1957,1545,71,5072,16,120,68,0,175,0,0.00952381
1,16116.9,671.557,764.538,710,11,71,2040,1656,70,5239,6,75,48,0,156,0,0.00952381
1,14898,624.281,393.229,362,6,64,1619,1315,50,4315,9,50,26,0,56,0,0.00952381
1,6949.79,72.713,177.777,164,6,20,245,154,2,437,7,22,10,0,18,0,0.00952381
1,6556.17,92.245,597.637,549,6,16,284,180,4,572,6,64,36,0,148,0,0.00952381
1,14107.6,544.828,1980.23,1851,9,63,1565,1235,50,3826,8,164,110,3,277,0,0.00952381
1,23997.2,1418.63,2922.48,2693,8,142,3413,2913,204,10095,14,284,201,4,654,0,0.00952381
1,5426.4,43.988,144.08,134,4,9,162,103,0,372,6,20,8,0,26,0,0.00952381
1,28931,2257.48,1268.78,1164,6,144,5118,4586,345,17083,10,133,85,0,248,0,0.00952381
1,17118.2,831.798,806.732,748,7,71,2222,1835,95,6076,8,69,42,0,122,0,0.00952381
1,15164,1039.94,1564.44,1448,4,71,1771,1390,78,4238,10,121,75,0,212,0,0.00952381
1,12027.9,427.58,168.593,153,4,42,1072,824,16,2497,5,27,15,0,25,0,0.00952381
1,5115.17,29.822,65.533,61,2,11,106,59,0,136,6,15,5,0,7,0,0.00952381
1,10666.4,164.463,291.012,270,5,46,598,412,9,1161,9,40,17,0,42,0,0.00952381
1,20707.8,1094.06,2107.42,1951,14,56,1542,1298,66,4909,13,169,112,0,315,0,0.00952381
1,38788.1,3171.77,6764.21,6255,10,169,5685,5056,437,19161,27,433,308,4,1044,0,0.00952381
1,13138.4,306.858,813.437,749,3,33,717,561,24,2421,10,85,52,0,183,0,0.00952381
1,40736.1,2896.28,11144.1,10231,25,148,6106,5452,460,20442,37,981,739,17,2413,0,0.00952381
1,15161.8,1295.65,2213.47,2073,9,65,1840,1472,89,4788,9,132,80,0,243,0,0.00952381
1,17331,1203.98,1249.83,1169,7,76,2052,1710,97,5825,9,95,60,0,157,0,0.00952381
1,42551.9,3642.44,7324.6,6761,12,177,6256,5593,499,21168,28,482,342,4,1184,0,0.00952381
1,21892.9,1977.95,3530.41,3270,12,77,2636,2273,142,8776,16,211,135,1,430,0,0.00952381
1,46467.8,3764.37,10363,9452,23,154,6447,5819,520,21659,34,899,684,6,2086,0,0.00952381
1,12226,442.892,483.973,453,6,44,938,699,21,2226,8,42,20,0,47,0,0.00952381
1,13293.4,344.877,929.22,864,5,37,684,510,13,1879,8,77,49,0,128,0,0.00952381
1,16759.2,1301.56,2221.05,2090,6,82,2150,1736,87,5737,8,132,90,1,230,0,0.00952381
1,30163.9,1763.98,5490.04,5089,21,99,3225,2802,236,10263,26,488,347,5,1142,0,0.00952381
1,8108.41,119.216,340.379,317,6,29,372,248,3,686,7,38,18,0,52,0,0.00952381
1,8348.65,121.389,208.204,192,3,22,386,253,9,744,5,28,14,0,22,0,0.00952381
1,3575.74,31.07,188.579,173,3,10,85,53,0,161,6,24,9,0,23,0,0.00952381
1,25406.7,1901.6,4624.52,4280,10,140,4732,4165,304,15361,16,365,259,1,850,0,0.00952381
1,28722.4,2213.33,4648.9,4305,14,130,4073,3471,254,12761,21,334,228,6,655,0,0.00952381
1,15403.2,780.465,1174.36,1098,5,72,1671,1301,49,4151,7,82,52,0,199,0,0.00952381
1,8779.86,228.197,627.154,588,3,28,485,343,11,998,6,46,25,0,62,0,0.00952381
1,30765.7,1742.81,6216.22,5684,14,98,3283,2854,232,10397,23,491,344,4,1144,0,0.00952381
1,5595.69,63.164,96.224,88,3,13,171,111,1,371,7,14,5,0,14,0,0.00952381
1,9376.67,174.758,310.15,289,5,30,510,349,7,1084,6,39,21,0,34,0,0.00952381
1,26786.9,2258.78,4718.73,4348,10,151,5119,4538,367,16639,18,418,296,1,945,0,0.00952381
1,37629.7,2351.23,3461.66,3169,9,165,5829,5210,456,19548,20,266,173,0,600,0,0.00952381
