K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
1,41527,44449.1,17589.1,15486,39,1529,69094,64116,7042,302680,85,2126,1601,40,5379,0,0.00179211
1,19006.5,5306.98,4578.01,4100,15,348,13063,11331,982,41132,18,566,409,0,1363,0,0.00179211
1,35741,18097.3,6473.48,5700,12,854,35922,32772,3349,140439,25,733,508,6,1732,0,0.00179211
1,25946.8,8317.23,4688.3,4162,17,482,16892,15284,1532,72184,31,646,460,7,1451,0,0.00179211
1,42657.2,41483.7,19311.8,17084,21,1483,65284,59999,6782,287402,84,2415,1902,26,6536,0,0.00179211
1,22514.8,7582.39,6981.07,6314,17,440,16165,14403,1352,58562,38,887,643,8,2282,0,0.00179211
1,27418.1,12514.7,4031,3586,18,658,25698,23171,2373,101581,24,549,371,0,1046,0,0.00179211
1,19901.7,5959.85,4608.73,4173,21,417,14041,12268,1059,49528,31,553,374,6,1017,0,0.00179211
1,13358,1719.13,1230.96,1109,7,155,4471,3844,288,14368,10,174,115,0,340,0,0.00179211
1,9112.19,607.621,365.865,327,6,86,1941,1507,74,4508,6,58,32,0,83,0,0.00179211
1,43703.6,49906.5,13982.6,12506,15,1829,83553,76906,8282,358541,74,1741,1306,18,4429,0,0.00179211
1,10546.8,532.918,2020.84,1815,9,57,1538,1231,79,4089,18,254,173,4,513,0,0.00179211
1,61430.5,42616.3,37368.5,32783,12,1458,72501,67665,7913,350784,176,4687,3548,90,12856,0,0.00179211
1,10295.7,670.221,1437.5,1306,12,77,1903,1524,102,6072,12,177,114,0,320,0,0.00179211
1,3583.72,127.52,345.88,321,7,17,296,193,0,506,7,38,19,0,42,0,0.00179211
1,40104.2,38058,15957.2,14231,15,1558,67422,61790,6707,286394,100,1953,1402,63,5031,0,0.00179211
1,17930.7,2183.75,477.381,423,4,142,5706,4929,365,18665,7,89,47,0,115,0,0.00179211
1,16758.2,2627.28,1445.62,1302,12,215,6676,5702,512,21712,16,195,123,0,347,0,0.00179211
1,34703.1,21181.9,15935.2,14184,23,1039,42102,38398,4103,166289,81,1994,1550,44,5827,0,0.00179211
1,25096.4,11954.3,7492.95,6737,16,636,24409,21534,2054,85821,26,968,724,13,2280,0,0.00179211
1,34295,20153.8,4357.86,3882,9,792,31983,29134,2972,123121,25,608,404,3,1291,0,0.00179211
1,43979.6,34440.9,11357.3,10026,14,1256,56374,52056,5765,245137,49,1352,979,6,3368,0,0.00179211
1,42926.1,47951.8,27242.2,24153,15,1736,77269,70977,7681,337331,136,3353,2504,64,8788,0,0.00179211
1,7816.68,827.841,425.848,385,10,75,2052,1669,76,5392,11,58,30,0,76,0,0.00179211
1,47484.8,18591.3,17388.1,15480,15,775,35236,32696,3645,152476,70,2155,1707,47,6047,0,0.00179211
1,47379.5,44862.2,23598,20964,37,1619,74615,69924,7755,345448,109,2939,2245,73,7616,0,0.00179211
1,42142,40773.1,16994.4,15130,31,1424,65367,60976,6783,291512,74,2028,1516,43,4957,0,0.00179211
1,58447.8,41983.3,7764.3,6830,5,1427,69788,65118,7604,334371,50,1042,719,0,2169,0,0.00179211
1,40052.8,31067.5,9457.93,8342,16,1239,54446,49859,5505,235081,49,1200,877,7,2817,0,0.00179211
1,14413.9,1304.99,3599.01,3185,14,117,3647,3049,230,12304,21,469,336,7,1298,0,0.00179211
1,7414.96,586.099,594.78,541,10,63,1418,1111,41,3492,6,66,39,0,100,0,0.00179211
1,14183.7,1750.67,3203.78,2899,13,111,3479,2922,231,10476,13,324,210,2,620,0,0.00179211
1,33403.8,15456.1,3809.61,3415,8,619,27591,25378,2666,114314,22,480,304,1,833,0,0.00179211
1,59654.4,33919.4,20677.6,18224,17,1198,58283,54331,6339,274068,91,2426,1798,21,7089,0,0.00179211
1,27213.8,14042.2,8334.01,7368,23,741,28239,25228,2618,104830,43,1065,800,18,2743,0,0.00179211
1,35858.3,17756.2,5295.22,4738,12,852,36068,32903,3363,141878,25,733,501,5,1780,0,0.00179211
1,14859.7,1362.76,2917.52,2618,16,137,3665,3065,271,11147,24,373,253,9,722,0,0.00179211
1,9423.35,452.022,1554.84,1412,8,32,1297,1046,53,3560,10,200,128,0,452,0,0.00179211
1,18106.1,3936.81,1155.2,1035,5,296,9328,8161,739,33008,9,171,99,0,290,0,0.00179211
1,29765,11641.6,4443.74,4008,13,632,25014,22641,2299,95142,19,613,421,4,1342,0,0.00179211
1,40667.7,37306.4,20635.5,18526,35,1447,65834,61089,6788,288256,73,2089,1573,33,5338,0,0.00179211
1,30213.3,10667,10291.8,9488,16,576,22669,20378,2181,89194,31,799,577,8,1956,0,0.00179211
1,28331.1,16343.7,5248.09,4682,15,853,31889,28320,3015,116386,37,666,468,7,1556,0,0.00179211
1,10996,1512.59,1723,1567,14,99,3822,3191,156,10534,14,212,141,0,397,0,0.00179211
1,31711.8,21638.5,16157.6,14402,24,963,40685,36461,3744,155666,57,2006,1579,37,5500,0,0.00179211
1,22643.1,8288.67,5544.75,4988,18,431,17526,15707,1471,61528,20,689,495,2,1549,0,0.00179211
1,26840.2,10890.8,7651.27,6884,18,584,22411,20231,1969,84371,48,953,707,18,2419,0,0.00179211
1,14195.1,1769.98,1114.24,1003,6,133,4554,3903,289,14143,9,158,105,0,275,0,0.00179211
1,12115.1,2160.42,2533.32,2293,7,125,5016,4280,229,15650,19,337,233,0,593,0,0.00179211
1,41443.8,41777.5,17727.6,15698,16,1637,70804,64969,7012,305071,107,2162,1567,61,5568,0,0.00179211
1,37230.8,20862.6,7740.34,6923,9,824,36255,33650,3697,155428,32,977,682,2,2323,0,0.00179211
1,46374.4,29718.5,21712.5,19269,26,1184,55024,51470,5810,248579,91,2733,2110,75,7776,0,0.00179211
1,19034.8,5086.59,3968.26,3522,18,356,12204,10515,908,37777,28,546,389,8,1140,0,0.00179211
1,25227.2,7249.31,3338.51,2991,11,462,15900,14314,1460,67335,25,473,332,1,874,0,0.00179211
1,42089.7,22933,3177.89,2797,5,1025,44848,41104,4472,185234,20,446,293,0,893,0,0.00179211
1,27524.2,6275.48,3886.55,3471,9,419,14996,13340,1289,53611,30,545,383,2,1055,0,0.00179211
1,4700.51,225.738,195.939,179,8,24,568,398,2,1175,8,31,15,0,37,0,0.00179211
