K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
4,11095.2,45635.5,14005.9,11490,5,1452,62959,57836,6162,264107,85,2605,2028,40,5913,392,0.00143541
4,12114.2,45635.5,14005.9,11490,14,1452,62959,57836,6162,264107,85,2605,2028,40,5913,392,0.00143541
4,29292,45635.5,14005.9,11490,9,1452,62959,57836,6162,264107,85,2605,2028,40,5913,392,0.00143541
4,37006.5,45635.5,14005.9,11490,16,1452,62959,57836,6162,264107,85,2605,2028,40,5913,392,0.00143541
4,47300.8,133991,169804,137869,58,3139,174217,164825,18051,985526,681,27410,23597,797,87109,3809,0.00143541
4,49127.1,133991,169804,137869,20,3139,174217,164825,18051,985526,681,27410,23597,797,87109,3809,0.00143541
4,55338.1,133991,169804,137869,57,3139,174217,164825,18051,985526,681,27410,23597,797,87109,3809,0.00143541
4,84348,133991,169804,137869,51,3139,174217,164825,18051,985526,681,27410,23597,797,87109,3809,0.00143541
4,23141.1,48223.6,65290.9,55310,6,1543,76668,71967,8216,364581,270,10125,8185,210,26421,1093,0.00143541
4,29737.5,48223.6,65290.9,55310,13,1543,76668,71967,8216,364581,270,10125,8185,210,26421,1093,0.00143541
4,51359,48223.6,65290.9,55310,56,1543,76668,71967,8216,364581,270,10125,8185,210,26421,1093,0.00143541
4,51979.1,48223.6,65290.9,55310,19,1543,76668,71967,8216,364581,270,10125,8185,210,26421,1093,0.00143541
4,37944.6,52461.2,89789.2,74923,19,1669,86231,80871,9346,433131,369,14505,11964,376,40460,1794,0.00143541
4,40622.3,52461.2,89789.2,74923,11,1669,86231,80871,9346,433131,369,14505,11964,376,40460,1794,0.00143541
4,60228,52461.2,89789.2,74923,15,1669,86231,80871,9346,433131,369,14505,11964,376,40460,1794,0.00143541
4,67089.7,52461.2,89789.2,74923,70,1669,86231,80871,9346,433131,369,14505,11964,376,40460,1794,0.00143541
4,20325.3,17036.3,23524.3,20483,17,857,32258,28665,2814,119423,120,3540,2781,62,8168,485,0.00143541
4,24002.2,17036.3,23524.3,20483,16,857,32258,28665,2814,119423,120,3540,2781,62,8168,485,0.00143541
4,24944.9,17036.3,23524.3,20483,7,857,32258,28665,2814,119423,120,3540,2781,62,8168,485,0.00143541
4,25568.6,17036.3,23524.3,20483,21,857,32258,28665,2814,119423,120,3540,2781,62,8168,485,0.00143541
4,44352,135213,160424,131178,44,3222,177939,168853,18593,1013526,760,27686,23418,855,85837,2943,0.00143541
4,45090.2,135213,160424,131178,19,3222,177939,168853,18593,1013526,760,27686,23418,855,85837,2943,0.00143541
4,52249.1,135213,160424,131178,60,3222,177939,168853,18593,1013526,760,27686,23418,855,85837,2943,0.00143541
4,83910.2,135213,160424,131178,46,3222,177939,168853,18593,1013526,760,27686,23418,855,85837,2943,0.00143541
4,5545.14,84621.1,50502.1,41216,5,2580,121011,112863,12713,571806,304,9510,7736,242,25466,922,0.00143541
4,13662,84621.1,50502.1,41216,15,2580,121011,112863,12713,571806,304,9510,7736,242,25466,922,0.00143541
4,40787.2,84621.1,50502.1,41216,25,2580,121011,112863,12713,571806,304,9510,7736,242,25466,922,0.00143541
