K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
9,9,74571.7,87172.3,629339,660615,539053,104,147018,142880,120994,456899,449818,437569,45026,2957283,79026,91246,79701,2857,303995,83068,14430,10,8100
9,9,68254.1,60993.9,641970,561327,458010,94,106733,103710,86300,466684,459281,447092,45898,2948115,64741,76396,66076,2426,225208,69545,13498,10,8100
9,9,84791.8,92907,575604,562112,462935,55,150077,145975,123904,440518,434025,417939,42558,2870095,61238,76275,67512,2370,239686,70236,16712,10,8100
9,9,71147,79476.4,634434,638821,513953,89,137675,133879,113051,462312,455041,443292,46289,2950360,75664,85991,74686,2699,287962,78184,12420,10,8100
9,9,88125.9,154578,639278,994746,804478,99,224586,218910,188802,484818,477750,464633,45968,3148805,101446,119967,107065,3435,431356,109828,20988,10,8100
9,9,74279.4,73260.7,445858,340946,263590,75,114019,110905,94014,369263,363514,349179,36313,2335118,47989,55740,48417,1871,180399,50771,9098,10,8100
9,9,77764.7,118451,327048,472740,385533,8,161813,157618,134444,298266,293734,278949,29821,1826484,52566,64825,56593,1747,205385,59457,13655,10,8100
9,9,119008,279966,824961,1.29939e+06,1.06012e+06,153,333988,325463,282018,570324,563174,550396,48633,4058445,117982,148328,133326,4762,525540,136676,33328,10,8100
9,9,66054.2,75610.9,652958,690912,572617,81,125892,122352,103095,450871,443612,430548,45254,2794596,73267,83059,72001,2705,267689,75411,11901,10,8100
9,9,69151.8,87822,621863,690104,563394,88,138323,134515,113605,451636,444458,431686,45180,2831307,74425,84203,72965,2569,279683,76433,11879,10,8100
9,9,99254.3,155639,679181,916820,755227,115,226491,220550,188534,514761,507652,496276,47188,3478588,92846,116619,103827,3311,387430,107214,26214,10,8100
9,9,95435.7,137699,651716,899822,731969,45,213305,207710,177892,497847,490764,476818,47148,3360567,97351,118528,105145,3648,394691,108494,23770,10,8100
9,9,78602,68370.5,636826,547654,439305,77,114668,111491,93599,480091,472701,460765,46166,3111783,68233,81056,70784,2696,249825,74024,14693,10,8100
9,9,72267.7,83085,611430,671093,546911,100,142801,138822,117353,451710,444647,431920,44801,2893347,78477,90463,78894,2811,300214,82350,14180,10,8100
9,9,101010,196869,685843,1.06021e+06,857593,127,264588,257756,221965,518758,511634,498665,47451,3545563,112526,136262,121418,4199,485051,124898,26613,10,8100
9,9,93583.6,167402,662806,1.00959e+06,822937,115,244238,238134,205924,503857,496706,485293,47058,3353871,101788,123715,110877,3821,441373,113600,24412,10,8100
