K,dist,cost_ki,cost_hi,h_cost,vnum,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,reevaluate,density
3,13195.5,63584.8,25982.2,23297,11,1674,81609,76223,8378,396305,116,2775,2124,31,4791,525,0.000954085
3,15544.8,63584.8,25982.2,23297,29,1674,81609,76223,8378,396305,116,2775,2124,31,4791,525,0.000954085
3,37186.8,63584.8,25982.2,23297,9,1674,81609,76223,8378,396305,116,2775,2124,31,4791,525,0.000954085
3,23087.4,59527,70422,63237,34,1987,89441,81374,8809,384083,224,6920,5563,153,17971,690,0.000954085
3,28450.2,59527,70422,63237,47,1987,89441,81374,8809,384083,224,6920,5563,153,17971,690,0.000954085
3,28693.9,59527,70422,63237,32,1987,89441,81374,8809,384083,224,6920,5563,153,17971,690,0.000954085
3,3937.12,317515,181028,156016,5,5069,299724,286319,30726,1836569,543,19453,16467,781,66919,1218,0.000954085
3,40193,317515,181028,156016,50,5069,299724,286319,30726,1836569,543,19453,16467,781,66919,1218,0.000954085
3,66828.6,317515,181028,156016,77,5069,299724,286319,30726,1836569,543,19453,16467,781,66919,1218,0.000954085
3,16130.4,39887.9,44441.3,40043,17,1339,62761,57517,6304,291816,154,4781,3762,49,11433,819,0.000954085
3,28331.3,39887.9,44441.3,40043,23,1339,62761,57517,6304,291816,154,4781,3762,49,11433,819,0.000954085
3,29381.4,39887.9,44441.3,40043,17,1339,62761,57517,6304,291816,154,4781,3762,49,11433,819,0.000954085
3,22354,154755,174787,154515,34,3269,176460,167540,18616,960965,515,19296,16065,555,61648,1434,0.000954085
3,45081.7,154755,174787,154515,42,3269,176460,167540,18616,960965,515,19296,16065,555,61648,1434,0.000954085
3,46814.3,154755,174787,154515,63,3269,176460,167540,18616,960965,515,19296,16065,555,61648,1434,0.000954085
3,19033,155282,307471,269126,7,3182,187279,177553,20444,1056942,806,32108,27466,1173,113635,2207,0.000954085
3,57402.8,155282,307471,269126,71,3182,187279,177553,20444,1056942,806,32108,27466,1173,113635,2207,0.000954085
3,59004.3,155282,307471,269126,48,3182,187279,177553,20444,1056942,806,32108,27466,1173,113635,2207,0.000954085
3,10476.5,47383.3,45379.6,40567,16,1553,71968,66951,7378,326574,170,4898,3904,95,12154,439,0.000954085
3,18304.3,47383.3,45379.6,40567,23,1553,71968,66951,7378,326574,170,4898,3904,95,12154,439,0.000954085
