K,order,dist,cost_polyanya,cost_ki,cost_hi,h_cost,vnum,gen_poly,push_poly,pop_poly,gen_ki,push_ki,pop_ki,prune_ki,suc_call_ki,gen_hi,push_hi,pop_hi,prune_hi,suc_call_hi,heuristic_call,reevaluate,pts,polys
1,1,28264.6,99699.5,34194.6,28921.8,25891,27,149540,145623,124377,46559,45532,41616,4530,193695,2663,2573,1971,42,7173,2255,0,8,7819
1,1,13758.5,173271,3941.08,6342.56,5820,13,224830,219174,189662,8275,8089,7049,653,31457,629,606,414,14,1195,531,0,8,7819
1,1,5100.63,35116.6,551.749,835.156,766,7,63484,61673,51545,1500,1448,1078,51,3633,93,92,48,0,100,73,0,8,7819
1,1,7820.54,59310.6,2212.8,2088.99,1920,8,90853,88396,74604,3724,3635,3129,166,11370,204,202,130,0,327,165,0,8,7819
1,1,24803.8,97276.5,23654.5,26445.7,23767,29,147038,143225,123153,37431,36582,33271,3524,148578,2472,2400,1860,46,6683,2096,0,8,7819
1,1,23331,35909.1,35286,19998.8,17931,37,66254,64305,52940,53139,51990,46800,5172,206517,1911,1852,1419,36,5378,1642,0,8,7819
1,1,10537.5,113858,2995.28,949.452,874,4,153787,149745,128025,5906,5749,4831,404,21420,114,111,68,0,175,85,0,8,7819
1,1,20179.2,32665,25393.2,10413,9398,13,62272,60373,50037,38490,37621,33683,3393,146255,847,817,574,10,1767,691,0,8,7819
1,1,13141.2,68074.9,6383.77,6912.8,6344,16,112080,108927,92054,12505,12156,10656,1042,45075,604,579,411,9,1633,501,0,8,7819
1,1,11142.2,78884.6,4631.38,6229.15,5695,17,120454,117230,99757,9545,9322,8207,608,34879,662,641,484,6,1635,546,0,8,7819
1,1,6591.71,44019.4,1219.7,2007.18,1856,11,79217,76963,64257,2920,2838,2302,119,7781,183,176,111,0,261,146,0,8,7819
1,1,22384.3,38332,32006.2,18304.6,16519,39,66394,64492,53935,48769,47706,43006,4524,185075,1733,1670,1278,27,4310,1451,0,8,7819
1,1,31980,128770,49948.1,46702.5,41391,35,191644,186754,159543,64899,63592,59266,6321,316874,4315,4188,3343,94,13447,3727,0,8,7819
1,1,22496,64905.6,30995.7,7085.73,6489,7,97189,94660,80082,44789,43838,40042,4139,175581,607,586,405,0,1124,500,0,8,7819
1,1,20452.5,50982.7,24061.1,17548.3,15738,23,86185,83810,70224,38664,37692,33544,3605,142000,1579,1511,1103,28,3732,1342,0,8,7819
1,1,31549.2,97815.6,37392.2,20468.9,18400,32,143197,139638,119779,51937,50880,46903,5262,231889,1953,1894,1409,23,4533,1623,0,8,7819
1,1,26604.8,56492.5,42409.8,26100.3,23491,21,91092,88709,74734,58076,56865,52308,5500,239395,2369,2292,1760,50,6894,2027,0,8,7819
1,1,17035.6,31878,13866.4,7176.47,6591,13,60702,58999,49090,25709,25078,22173,2212,87933,620,594,411,8,1285,493,0,8,7819
1,1,22453.1,91335.2,20778.6,26237.7,23686,34,136029,132447,113856,36138,35292,32121,3418,141502,2473,2385,1844,69,6543,2110,0,8,7819
1,1,24014.7,134391,10487.4,28799.4,26052,26,190198,185530,161323,17938,17587,15998,1584,74567,2786,2704,2168,56,8230,2353,0,8,7819
1,1,2936.73,53160.1,162.564,309.188,284,7,87859,85399,71712,444,433,301,8,862,37,36,19,0,43,27,0,8,7819
1,1,19566,77448.8,19831.2,13570.5,12411,14,125891,122489,104407,35166,34302,30670,3261,128457,1303,1252,964,23,3260,1083,0,8,7819
1,1,11071.4,39713.4,5021.39,5046.24,4655,14,65735,63813,52986,9803,9541,8228,640,30214,448,433,299,3,878,366,0,8,7819
1,1,20185,49820.6,20993.2,15996.7,14455,20,85830,83489,69956,37151,36208,32136,3377,134991,1632,1568,1149,30,4005,1385,0,8,7819
1,1,28340.3,88669.7,42916,40243.1,36092,37,144550,140816,120083,60684,59336,54602,6025,256713,3653,3539,2770,91,10288,3098,0,8,7819
1,1,5709.62,43312.1,704.673,1461.08,1363,12,73908,71902,60437,1911,1843,1438,75,4675,100,99,65,0,203,82,0,8,7819
1,1,20071.1,105580,20666.3,10176,9155,13,149003,145151,124653,32378,31630,28792,2983,126854,982,942,673,6,2298,810,0,8,7819
1,1,7656.84,63218.1,1405.35,1185.28,1095,9,102828,100052,84788,3269,3194,2711,156,10310,132,126,72,0,228,107,0,8,7819
1,1,20713.8,31798.3,26999,6071.49,5514,4,60250,58441,48753,40155,39196,35062,3645,147297,630,596,416,0,1322,514,0,8,7819
1,1,27648.6,84562,59214,41801.4,37501,33,136716,132974,112346,76161,74532,68330,7323,330919,3818,3706,2944,114,12001,3289,0,8,7819
1,1,9888.43,87658.4,3858.87,1058.19,961,5,138244,134490,114297,6797,6607,5665,453,21365,126,124,70,0,196,96,0,8,7819
1,1,29532.1,95491.1,40652.5,38141.9,33906,41,150520,146551,125452,56245,54997,50531,5501,238172,3470,3351,2616,67,9624,2938,0,8,7819
1,1,19916.9,43649.9,23734.9,16359.2,14790,30,69891,67937,56918,37249,36415,32666,3374,134189,1491,1441,1089,27,3662,1250,0,8,7819
1,1,28794.7,74702.9,28517.4,26339.8,23458,28,116928,113921,96664,43957,43127,39378,4251,183556,2383,2320,1788,68,7708,2039,0,8,7819
1,1,12442.7,68691,6410.62,3274.27,3002,9,113892,110654,92895,12653,12295,10644,908,39038,324,314,215,0,608,269,0,8,7819
1,1,22108.9,79879.9,32338.7,23410.4,21202,31,133628,129933,109335,46955,45900,41132,4181,184441,2224,2157,1632,62,6157,1925,0,8,7819
1,1,4842.63,39526.2,506.355,1035.96,955,5,77828,75564,62663,1473,1431,1104,51,3451,113,111,68,0,171,89,0,8,7819
1,1,27527.6,88440.6,38541.2,38324,34177,37,142717,138982,118438,57844,56536,52010,5636,242541,3499,3384,2637,83,9731,2959,0,8,7819
1,1,11472.2,39224.5,6400.93,5216.05,4768,16,68750,66800,55665,10840,10561,9116,796,33382,513,493,351,1,1135,424,0,8,7819
1,1,15845.8,33605.4,11947.8,7106.66,6498,25,59812,57952,47920,21857,21292,18696,1831,73567,683,653,431,6,1496,573,0,8,7819
1,1,17584.8,79804.5,16801,13459.7,12138,23,134129,130501,109791,28221,27556,24294,2388,102237,1265,1229,914,18,3316,1094,0,8,7819
1,1,15546.3,99102.8,6815.42,3550.5,3267,9,147095,143058,121852,13695,13354,11928,1234,46979,373,356,220,3,582,295,0,8,7819
1,1,9542.61,43773.9,4388.94,2821.16,2593,7,69035,67071,56096,7014,6852,5837,454,20771,241,229,145,4,364,189,0,8,7819
1,1,24330.2,76691.2,32718.3,10723.8,9637,12,115766,112741,95843,50599,49519,45359,5011,207853,1046,1006,729,11,2188,852,0,8,7819
1,1,1624.49,41292.8,60.351,249.584,230,4,80104,77818,64526,133,129,75,0,257,30,30,12,0,31,17,0,8,7819
1,1,29386.8,96131.9,34644.2,33804.4,30403,28,137896,134409,114806,55408,54264,50242,5596,244258,3126,3017,2327,47,8070,2637,0,8,7819
1,1,33239.4,96763.8,56111.5,46416.2,41678,50,160625,156483,133688,78553,76912,71072,8107,350470,3949,3835,3034,105,10907,3350,0,8,7819
1,1,22750.7,79889.9,15887,17803.5,16077,21,125782,122489,105185,25996,25413,23016,2404,99144,1791,1730,1324,41,4531,1502,0,8,7819
1,1,25569.6,133276,8960.92,38581.6,34649,28,194741,189997,165621,18402,18045,16399,1658,76193,3407,3320,2721,79,11249,2903,0,8,7819
1,1,10807.9,53785.5,3711.07,3185.23,2914,11,94972,92302,77655,8864,8616,7362,627,25553,353,334,224,5,752,278,0,8,7819
1,1,18510.3,33216.2,16934.7,8007.11,7283,21,66004,64117,53194,31591,30877,27393,2899,113439,845,815,559,14,1974,702,0,8,7819
1,1,17834.1,34580.9,19262.7,8771.29,7977,24,63744,61854,51293,29289,28587,25479,2541,103058,868,831,573,15,1703,709,0,8,7819
1,1,16108.1,94070.8,13763,8253.29,7493,13,154512,150322,126539,20512,20046,17782,1759,82652,841,816,619,11,2349,708,0,8,7819
1,1,17844.5,32249.9,16515.2,10888,9917,30,58887,57110,47380,28637,27921,24745,2491,100254,1064,1022,720,14,2465,892,0,8,7819
1,1,5005.08,64514.2,897.732,1967.3,1818,9,104041,101205,85332,1743,1698,1343,48,4366,145,141,89,0,268,120,0,8,7819
1,1,14073.3,79100.7,8114.05,6386.99,5871,13,119549,116259,98279,16553,16077,13867,1263,53300,668,640,460,12,1471,557,0,8,7819
1,1,16012,184698,2495.89,1524.14,1374,3,244957,238883,208084,5528,5396,4708,471,19667,196,187,111,0,326,134,0,8,7819
1,1,6173.8,47051.8,974.617,1258.84,1162,17,75865,73795,62014,2315,2239,1776,92,5800,129,126,88,2,289,104,0,8,7819
1,1,7506.27,43504.4,1585.69,2945.61,2683,16,77131,75004,63342,4092,3981,3333,196,11598,300,297,212,1,661,257,0,8,7819
1,1,5016.66,38443.7,604.19,1170.45,1066,9,73278,71158,59096,1593,1546,1183,51,4045,112,107,74,1,216,86,0,8,7819
1,1,31490.8,67563.5,32385.7,28280.2,25316,26,114720,111831,95175,52842,51852,47518,5362,227755,2696,2622,2051,65,8716,2301,0,8,7819
1,1,41442.2,112740,75656.4,78934.2,69935,52,186355,181596,155412,95408,93558,87400,9678,482699,7033,6829,5547,191,23266,6124,0,8,7819
1,1,6497.03,66771.8,1661.78,2540.14,2349,13,110955,107944,91309,2904,2826,2369,129,9349,218,214,153,0,427,181,0,8,7819
1,1,25218.6,47781.6,42105.3,25397.6,23000,28,88500,85819,70985,63342,61921,55881,6118,253287,2293,2200,1673,42,5905,1908,0,8,7819
1,1,14932.5,57828.1,10077,1933.62,1772,7,99123,96382,82064,17912,17460,15532,1479,63041,205,198,116,0,320,162,0,8,7819
1,1,21481.2,35447.1,26155.7,20449.5,18392,33,69690,67667,55705,44104,43180,38811,4023,166459,1928,1882,1452,34,5201,1643,0,8,7819
1,1,25286,34208.7,43195.5,18680.9,16920,29,65917,64044,53059,59769,58526,53724,5728,241629,1701,1645,1238,20,4329,1441,0,8,7819
1,1,17139.1,98085,8082.38,9179.51,8332,10,149422,145398,124042,15143,14758,13047,1258,55851,791,767,552,0,2001,670,0,8,7819
1,1,9460.98,65965,2989.97,1931.51,1761,8,106138,103278,87745,7311,7126,6123,413,21811,220,214,136,0,406,170,0,8,7819
1,1,16604.7,30526.9,12326.2,3684.39,3332,9,57811,56152,46446,24564,23954,21137,2167,83163,413,393,264,6,841,325,0,8,7819
1,1,6752.99,139183,760.532,230.407,207,3,208423,203206,175806,1951,1901,1521,96,5982,40,40,17,0,45,20,0,8,7819
1,1,10257.6,57487.2,5016.89,1477.16,1362,7,91627,89105,75396,8438,8224,7007,549,25770,138,134,75,0,211,109,0,8,7819
1,1,7672.34,113863,1065.89,3086.71,2823,18,173178,168565,143858,2501,2433,1981,130,8176,304,293,205,3,615,255,0,8,7819
1,1,15022.2,111283,11019.5,7914.46,7170,16,167082,162816,140282,17876,17448,15588,1530,65427,795,766,566,2,1846,652,0,8,7819
1,1,31140.6,80107.3,58869.2,29934.3,26947,33,137468,133768,113107,86808,84958,78465,8692,391869,2766,2666,2059,66,7746,2324,0,8,7819
1,1,19018.6,33881.9,17656.8,11981.2,10856,23,67815,65775,53923,33168,32358,28794,2962,121051,1208,1170,874,8,2966,1015,0,8,7819
1,1,20490.8,79595.6,18719.7,15180.7,13686,33,127936,124501,106908,31971,31182,28241,3043,122731,1582,1520,1134,34,4000,1334,0,8,7819
1,1,22898.3,48872.4,32184,25113.2,22652,41,89126,86549,71717,49286,48116,43544,4684,196748,2407,2301,1773,73,6215,2035,0,8,7819
1,1,25887.3,49717.4,33809.1,3201.38,2873,7,82793,80493,67323,50930,49863,45816,4926,209123,359,348,227,0,664,289,0,8,7819
1,1,19303.9,90628.5,10351.4,12040.1,11009,7,141168,137538,117979,19542,19121,17450,1640,82422,1077,1042,749,18,2315,867,0,8,7819
1,1,9761.59,106294,1788.57,2098.61,1928,8,158929,154835,132381,4484,4348,3637,305,16117,214,208,149,0,373,169,0,8,7819
1,1,19557.2,31883,21755.5,13730,12369,24,62645,60776,49906,35371,34564,30822,3269,129720,1354,1316,984,24,3816,1150,0,8,7819
1,1,18077,47070.4,15213.7,8458.75,7614,16,78328,76085,63442,28393,27650,24445,2530,98591,866,832,574,13,2158,713,0,8,7819
1,1,14787.8,106091,9417.06,7042.32,6374,21,143272,139496,119176,16892,16444,14594,1290,71013,626,597,403,3,1259,513,0,8,7819
1,1,11594.6,85619.1,6390.55,5955.86,5509,18,135962,132186,111202,10621,10318,8782,807,34613,435,422,303,0,1016,364,0,8,7819
1,1,18727,38565.7,18508.2,13106.7,11796,28,70817,68726,56869,32442,31733,28296,2854,120272,1208,1164,874,20,2984,1011,0,8,7819
1,1,6829.08,45494.8,1184.51,773.799,705,8,79810,77559,64942,2777,2697,2158,157,6829,96,89,45,0,120,70,0,8,7819
1,1,28089.9,44667.5,59551.8,39148.1,35162,36,83969,81440,67337,82506,80722,73072,8107,347063,3637,3506,2760,77,9890,3049,0,8,7819
1,1,14226.1,80282.6,6210.35,3444.7,3111,7,136664,132818,112939,12249,11896,10421,950,44842,379,364,247,0,723,307,0,8,7819
1,1,21199.4,70469.7,27218.6,21185.8,19020,27,128624,125050,105025,42899,41893,37385,3807,164441,1966,1905,1453,58,5467,1700,0,8,7819
1,1,11112.5,55915.9,5766.37,3442.95,3138,10,95030,92328,77085,9622,9334,7881,670,30031,354,337,226,3,666,288,0,8,7819
1,1,28142.3,65132.1,62998.6,18193.9,16425,12,118480,115260,97158,81379,79628,72608,7853,349611,1657,1606,1208,6,4175,1400,0,8,7819
1,1,23920.3,50120.4,39521.4,36198.5,32402,36,87903,85359,70736,55414,54126,48956,5413,224145,3205,3080,2411,123,8795,2752,0,8,7819
1,1,5239.12,40064.9,654.654,394.144,359,4,71109,69059,57448,1705,1644,1264,59,3955,54,52,25,0,81,36,0,8,7819
1,1,24266.4,34519.8,41648.8,24311.7,21892,39,65309,63397,52524,58686,57401,52188,5548,232101,2270,2197,1640,42,5652,1915,0,8,7819
1,1,7947.76,59815.4,1760.55,2573.64,2370,8,89598,87138,73425,3918,3819,3312,196,11926,255,253,172,0,482,208,0,8,7819
1,1,26419.4,38976.4,41504.7,36258.3,32697,28,65185,63355,52308,64016,62698,57585,6059,263616,3097,3000,2215,38,7361,2618,0,8,7819
1,1,4393.06,41985.8,501.889,765.776,714,8,67449,65519,54554,1167,1127,845,23,2675,71,68,35,0,91,53,0,8,7819
1,1,12902.8,47714.7,7738.93,1563.77,1409,4,84458,82049,68415,14411,14072,12212,1047,48746,148,142,80,0,269,112,0,8,7819
1,1,30781.5,88714.3,36153.8,41190.8,37109,31,144602,140818,120811,53399,52233,47849,5161,226622,3645,3525,2786,88,10051,3125,0,8,7819
1,1,27461.7,106716,31015.1,40435.6,36242,32,154171,150212,129389,45984,44966,41072,4433,187000,3501,3399,2682,93,9836,3020,0,8,7819
1,1,27431.3,63116.4,57978,2368.48,2135,4,114383,111182,93638,78269,76599,69393,7503,329383,258,251,160,0,525,200,0,8,7819
1,1,18913.8,30093,20033,17844.3,16084,29,65242,63361,52092,33581,32884,29359,2904,125436,1624,1590,1232,29,4272,1379,0,8,7819
1,1,24894.5,84281.3,32250.2,23554.1,21136,35,126260,122921,104936,50038,48887,44493,4876,206274,2259,2176,1651,51,5726,1918,0,8,7819
1,1,20312.6,34394.5,23845.2,15763.5,14265,21,62458,60628,50344,37855,36962,33042,3507,137979,1506,1447,1104,32,3514,1244,0,8,7819
1,1,3237.56,46998.2,205.663,385.607,356,8,74427,72371,60935,562,543,383,5,1319,44,43,28,0,81,33,0,8,7819
1,1,32369.7,87924.2,68442,52604.3,46817,39,143917,140127,118874,88368,86504,80127,8946,404768,4451,4323,3496,128,14370,3797,0,8,7819
1,1,20042.5,37757.3,23719.3,13472.5,12171,26,63704,61856,51357,38197,37335,33326,3545,137230,1323,1273,918,20,2957,1095,0,8,7819
1,1,25454.9,78912.3,34024.9,12251.4,10959,15,121795,118643,101195,51952,50836,46735,5111,215529,1285,1236,891,2,2938,1047,0,8,7819
1,1,13129.5,57360,5338.62,3810.37,3492,9,93712,91094,77467,11841,11531,10167,911,38040,393,382,269,0,805,333,0,8,7819
1,1,3920.89,126842,471.075,586.23,546,8,189823,184976,159750,996,968,758,13,2453,53,50,27,0,59,36,0,8,7819
1,1,35751,159705,32086.2,10918.2,9777,9,229535,223856,192308,48139,47217,43600,5099,234971,1177,1146,770,3,2721,972,0,8,7819
1,1,7914.23,44547.5,1870.75,2278.38,2094,13,80764,78541,66452,4721,4584,3824,217,13415,237,231,150,1,554,199,0,8,7819
1,1,28316,95744.7,46180,40016.8,35983,43,164349,160054,135923,67897,66503,61771,6513,320953,3703,3601,2827,135,10511,3197,0,8,7819
1,1,21709.1,55200.4,29814.1,11632.3,10519,14,109338,106371,89564,46076,45043,40322,4092,178797,1090,1051,789,12,2790,916,0,8,7819
1,1,23029.5,100735,22770.9,17770.7,16106,25,150730,146857,126056,36557,35749,32905,3471,155184,1766,1692,1239,21,4335,1483,0,8,7819
1,1,6612.27,99475.8,687.559,1542.96,1409,12,158912,154644,132177,1897,1827,1503,106,5414,171,165,104,0,273,139,0,8,7819
1,1,13117.7,59157.5,7122.2,1546.44,1405,6,97343,94659,80469,14318,13949,12164,1033,47588,180,174,102,0,284,142,0,8,7819
1,1,3251.05,115045,288.191,211.2,192,4,178840,174189,149752,690,668,502,12,1583,29,28,14,0,34,17,0,8,7819
1,1,22915.6,82778.8,14709,23488.6,21284,35,126899,123576,106074,28129,27508,24927,2617,108340,2201,2130,1641,41,5705,1861,0,8,7819
1,1,25734.8,82621.1,17431.3,30160.2,27335,37,132867,129374,111319,31982,31283,28378,3068,126938,2642,2556,1996,42,7235,2249,0,8,7819
1,1,18148.5,72896.8,17400.9,15702.6,14136,24,122328,118852,100194,28969,28245,25326,2529,106224,1601,1534,1191,30,3850,1318,0,8,7819
1,1,34750.1,166033,27091.9,26283.2,23642,23,230308,224425,192393,40051,39258,36078,4047,192678,2509,2428,1857,25,7540,2142,0,8,7819
1,1,8678.81,66932.3,1773.61,1899.99,1749,4,114545,111451,94600,3794,3703,3167,218,12162,188,180,114,0,303,148,0,8,7819
1,1,32701.7,80702.8,44406.2,52397.5,46832,9,118500,115395,97868,69143,67743,62946,6991,310127,4971,4795,3698,57,12671,4181,0,8,7819
1,1,5144.31,43677.5,601.519,1004.11,925,11,74039,71916,60704,1627,1573,1243,62,4035,104,102,59,0,155,87,0,8,7819
1,1,9947.24,66821.5,1829.9,3027.28,2776,9,108022,105098,89172,4017,3923,3337,219,12210,318,307,200,2,603,246,0,8,7819
1,1,31636.2,139534,37560.7,34958.7,31343,22,208481,202987,173509,51644,50581,46948,5154,249776,3202,3110,2448,58,9847,2752,0,8,7819
1,1,18338.1,33035.3,17578.6,11075.1,10029,18,61771,59936,49754,30087,29333,26115,2781,105179,1133,1086,801,23,2334,933,0,8,7819
1,1,3870.3,62065.7,317.424,443.45,409,7,105970,103035,86538,809,776,549,20,1915,58,52,23,0,57,40,0,8,7819
1,1,19368.5,99482,10273.3,10502.4,9405,19,155209,151042,128802,19925,19439,17351,1694,75129,1013,987,731,9,2565,856,0,8,7819
1,1,18746.3,66377.3,13611.6,12110.9,11028,32,110600,107610,91660,22364,21867,19798,2031,81924,1117,1079,796,12,2615,937,0,8,7819
1,1,7241.91,38941.9,1224.49,793.785,734,12,73018,70941,59055,3168,3068,2464,152,7649,85,81,50,0,138,64,0,8,7819
1,1,10764.2,52949.9,3609.5,3371.82,3112,17,95623,92941,77653,8817,8574,7274,641,24494,324,315,205,2,606,266,0,8,7819
1,1,14693.4,62804.3,9754.89,8536.08,7818,22,107392,104399,87959,18327,17850,15563,1460,58620,827,790,554,12,1708,681,0,8,7819
1,1,8071.06,42122.2,2208.3,1221.58,1124,7,83619,81248,67627,4942,4815,4023,266,14522,133,131,75,0,200,105,0,8,7819
1,1,16099,30118.2,11114.5,4821.31,4364,8,57234,55538,46229,22553,21972,19334,1840,75393,489,467,329,1,1062,405,0,8,7819
1,1,13129.2,58820,7552.35,449.854,403,3,95961,93294,78665,14048,13713,12166,1056,48086,75,74,31,0,87,43,0,8,7819
1,1,26330.5,70404.8,45040.1,22685.8,20481,25,124267,120860,102126,64530,63083,57795,6046,272794,2171,2095,1605,48,5887,1817,0,8,7819
1,1,5393.44,60420.2,835.003,1456.15,1337,11,106742,103821,87682,1949,1899,1532,70,5003,156,149,92,0,249,120,0,8,7819
1,1,18732.7,57769.3,19393.9,16037.2,14599,28,104145,101114,84225,31983,31172,27576,2752,110743,1485,1430,1051,17,3279,1219,0,8,7819
1,1,5728.32,76287.9,707.233,1445.43,1317,14,110578,107552,90692,1910,1851,1431,83,4722,158,151,96,0,245,130,0,8,7819
1,1,13587.4,34403.5,7609.01,6242.55,5668,18,62114,60263,49796,15166,14801,12914,1149,50236,612,590,421,2,1327,503,0,8,7819
1,1,7464.41,48862.8,1629.54,670.541,610,7,82331,80032,66956,3846,3747,3080,198,10211,81,79,47,0,129,58,0,8,7819
1,1,12597.5,55426.6,6833.15,5612.64,5150,17,102271,99384,83628,13820,13454,11719,959,44269,573,553,401,7,1510,472,0,8,7819
1,1,24608.7,38282.8,38047.1,17129.4,15501,25,66548,64672,53724,56999,55808,51085,5491,228240,1672,1616,1214,19,4350,1411,0,8,7819
1,1,21552.1,95701.8,23288.4,17372.9,15824,21,162984,158595,133927,36047,35256,32189,3474,165079,1670,1622,1266,25,4803,1427,0,8,7819
1,1,11523,30119.1,5081.52,2439.73,2254,8,53219,51667,43149,10035,9758,8351,677,30310,212,199,128,0,346,169,0,8,7819
1,1,35942.6,91336.2,85045.3,108414,96099,36,152211,148237,125780,100367,98351,92117,10331,499987,9435,9158,7305,270,29524,8084,0,8,7819
1,1,3492.58,52536.2,290.12,354.272,330,7,89767,87264,73387,753,739,545,14,1782,43,43,23,0,51,31,0,8,7819
1,1,27689.3,39374.8,58715.5,36843.2,33084,41,82057,79643,65693,78564,76863,69790,7470,327598,3545,3421,2717,98,9903,2998,0,8,7819
1,1,22413.7,75307,27971,17075.3,15336,26,117543,114402,97225,45594,44559,40576,4379,181107,1640,1581,1208,19,4155,1374,0,8,7819
1,1,34380.5,89979.8,69901.9,59711.5,53451,52,155941,151908,129121,90291,88455,82202,9339,427060,5489,5330,4271,180,16768,4675,0,8,7819
1,1,10686.9,104285,2717.99,5147.59,4689,12,160165,155826,132605,5986,5824,4982,368,21091,540,523,375,2,1298,457,0,8,7819
1,1,16374.1,71369.7,12256.3,9317.81,8447,28,120395,117044,99029,23550,22922,20340,2039,81154,932,890,651,8,2315,773,0,8,7819
1,1,15010.7,60493.7,6713.66,8447.15,7836,21,109091,106067,90167,10861,10597,9311,871,34720,703,675,492,5,1511,580,0,8,7819
1,1,25007.2,40553.5,38829.6,9646.11,8661,22,73595,71568,59733,54157,53049,48720,5231,219959,940,903,648,13,1964,772,0,8,7819
1,1,29041.8,107907,49562.8,40116.2,36134,39,171624,167150,142372,67392,66006,61479,6502,324641,3413,3320,2614,99,9903,2948,0,8,7819
1,1,9987.19,55768.5,3187.33,2078.58,1958,5,89271,86697,73178,7477,7266,6199,496,21487,118,113,68,0,171,90,0,8,7819
1,1,12789.4,84023.5,6402.92,5968.68,5461,15,142529,138713,118308,13194,12844,11212,1084,42646,619,596,451,7,1573,517,0,8,7819
1,1,21496.5,53730.8,24808.8,17146.2,15380,28,90354,87811,73299,43862,42798,38356,4209,167765,1750,1677,1235,36,4188,1479,0,8,7819
1,1,17598.3,74139.1,9532.52,8227.34,7504,29,126335,123005,105010,16366,15994,14582,1402,65876,843,816,604,1,1917,696,0,8,7819
1,1,16016.7,55244.8,14335.8,6621.74,5981,18,100706,97850,82398,23288,22721,20048,1816,81621,650,626,449,7,1562,538,0,8,7819
1,1,12457,68659.9,3698.51,5973.01,5446,15,109669,106778,90485,7923,7722,6752,588,27056,585,573,412,8,1329,486,0,8,7819
1,1,3122.94,45515,199.925,473.102,434,6,75844,73735,62252,469,447,297,7,982,58,55,30,0,80,38,0,8,7819
1,1,18198,68862.7,17268.8,10290.3,9238,25,118631,115345,96496,30109,29367,25938,2688,108637,1045,1008,727,19,2429,872,0,8,7819
1,1,18362.9,85768.8,13267.3,7936.48,7147,9,136703,132937,113151,22424,21875,19578,1905,85970,810,778,569,17,1959,662,0,8,7819
1,1,9732.47,26440.5,2979.78,1695.87,1564,8,53729,52168,43581,7093,6892,5782,453,20575,189,178,113,0,316,152,0,8,7819
1,1,22569.3,34289.2,31351.4,20581.2,18689,28,63764,61898,51520,49661,48571,43601,4683,186530,1959,1899,1451,35,4757,1623,0,8,7819
1,1,16574.2,28657.4,12459.7,6690.18,6043,9,57283,55608,46096,24185,23578,20735,2080,81189,646,620,439,0,1569,539,0,8,7819
1,1,20933,59443.2,23651.9,18887,17261,26,106803,103728,86792,40313,39380,35462,3587,152951,1934,1855,1445,32,4525,1573,0,8,7819
1,1,27919.1,84157.4,30647.2,35566.9,32219,48,142564,138785,118699,52585,51400,47210,5089,218604,3263,3149,2469,79,8988,2764,0,8,7819
1,1,42626.1,126348,73214.1,86955.7,77289,53,194402,189481,162781,96025,94177,87909,9839,490175,7412,7190,5862,216,24794,6432,0,8,7819
1,1,7562.09,74733.1,1871.21,3533.17,3286,8,129529,125897,105908,3979,3850,3144,216,10866,293,284,199,4,615,241,0,8,7819
1,1,12367.6,100802,5406.34,4683.54,4227,9,151090,147047,125898,10193,9912,8642,801,44358,530,509,355,0,1234,430,0,8,7819
1,1,23368.1,33228.6,33409.3,23211.9,20995,21,65064,63132,52295,52985,51807,46546,4947,204731,2075,2010,1528,57,5720,1765,0,8,7819
1,1,40522,127945,63410.1,88029.7,78379,47,194697,189839,162674,88482,86784,80922,8962,446432,7639,7423,6073,238,25428,6624,0,8,7819
