         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,    68.942,         1,         1,         2,         1,   823.706,         7,     5.938,        41,      0.92,         7,         8,     8.543,         7,         8,   139.041,        11,       135,         3,         1,         0,         0,         0,     1.925,         9,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       159,       454
         5,   107.075,         5,         5,        10,         5,    269907,      6519,    27.417,        62,      7.14,        64,         4,    19.702,        64,        14,   1246.38,        49,      1220,        23,        13,         2,         0,         0,    44.865,        56,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       159,       454
        10,   185.691,        10,        10,        23,        10,1.01225e+06,      2804,    95.687,       244,     44.29,       276,         4,    32.179,       276,         5,   3430.65,       134,      3350,        63,        31,        10,         0,         0,   146.786,       188,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       159,       454
        25,   292.985,        27,        27,        65,        27,1.05412e+06,        99,   335.467,       604,   258.938,      1299,         7,     187.1,      1299,         5,   9370.83,       255,      9173,       174,        62,        63,         0,         0,   337.477,       379,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       159,       454
        50,   404.186,        50,        50,       138,        50,1.55555e+06,       197,     533.9,       962,   406.586,      2717,         6,   340.074,      2717,         5,   20252.4,       473,     19679,       393,        91,       177,         0,         0,   1247.69,       803,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       159,       454
         1,   55.0364,         1,         1,         2,         1,   21738.7,        34,     6.096,        47,     0.463,         5,         4,     5.045,         5,         4,    91.192,         9,        89,         2,         0,         0,         0,         0,     2.798,         9,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,        98,       537
         5,   91.4166,         5,         5,        10,         5,    297494,       501,     12.87,        65,     9.215,        66,         3,    11.479,        66,         5,   1528.12,        49,      1505,        29,        13,         8,         0,         0,    41.346,        56,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,        98,       537
        10,    192.01,        11,        11,        20,        11,1.00336e+06,      1346,    61.296,       163,    48.967,       354,         4,    40.345,       354,         4,   3434.48,        92,      3379,        67,        26,        31,         0,         0,     82.59,       115,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,        98,       537
        25,    290.72,        25,        25,        66,        25,1.07017e+06,        91,   202.432,       463,   153.898,      1118,         5,   130.122,      1118,         5,   8219.48,       248,      7964,       168,        53,        64,         0,         0,   300.414,       345,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,        98,       537
        50,    442.34,        50,        50,       142,        50,1.52232e+06,       194,   481.161,       988,   382.281,      2774,         5,   324.857,      2774,         5,     18017,       423,     17571,       361,        89,       194,         0,         0,   758.667,       768,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,        98,       537
         1,   35.5106,         1,         1,         2,         1,   69786.1,        73,     3.699,        31,     2.888,        16,         5,      6.58,        16,         5,    488.44,        27,       479,         7,         5,         0,         0,         0,    15.984,        27,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       154,       619
         5,   111.759,         5,         5,        10,         5,    763853,       598,    53.555,       137,     7.127,        75,         4,    10.072,        75,         5,   1334.24,        40,      1316,        21,         8,         9,         0,         0,    44.001,        62,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       154,       619
        10,   147.513,        10,        10,        24,        10,1.0103e+06,      1297,    61.459,       171,    30.977,       215,         4,    28.052,       215,         5,   3583.74,       115,      3509,        71,        31,        21,         0,         0,   122.879,       161,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       154,       619
        25,   229.713,        25,        25,        59,        25,1.06079e+06,      7568,   100.172,       252,    92.398,       655,         6,    91.848,       655,         5,   5476.32,       180,      5344,       112,        39,        42,         0,         0,   227.194,       226,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       154,       619
        50,   431.225,        51,        51,       120,        51,1.43187e+06,       193,   621.585,       963,   324.013,      1886,         5,   257.406,      1886,         5,   18120.5,       405,     17719,       324,        95,       157,         0,         0,   848.764,       744,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       154,       619
         1,   19.2354,         1,         1,         2,         1,    611.16,         7,     0.421,        11,     0.029,         1,         4,     4.868,         1,         4,     0.321,        11,         0,         0,         0,         0,         0,         0,     0.289,        11,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       404,       629
         5,   83.8153,         5,         5,        10,         5,    129335,       198,     8.793,        61,     6.363,        43,         8,    11.116,        43,         6,   1021.99,        52,      1006,        16,         9,         1,         0,         0,    48.364,        52,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       404,       629
        10,   113.053,        10,        10,        20,        10,    555873,       742,    24.058,       111,    11.636,       102,         6,    13.399,       102,         5,   1546.53,        64,      1526,        22,        11,         3,         0,         0,    40.366,        66,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       404,       629
        25,   212.869,        25,        25,        51,        25,1.02331e+06,        79,   322.604,       432,      39.3,       398,         6,    37.909,       398,         5,   5155.11,       134,      5062,        69,        27,        21,         0,         0,   210.389,       259,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       404,       629
        50,    348.66,        50,        50,       120,        50,1.27867e+06,     18090,   749.493,      1284,    266.31,      1552,         6,   203.782,      1552,         5,   18771.7,       404,     18419,       359,       104,       184,         0,         0,   885.716,       892,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       404,       629
         1,   77.4661,         1,         1,         2,         1,    585123,       560,    61.648,       129,     2.837,        18,         4,     6.828,        18,         5,   415.271,        20,       408,         8,         6,         0,         0,         0,     8.589,        20,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       960,       331
         5,   261.661,         5,         5,        16,         5,1.04222e+06,        90,   223.293,       462,   119.159,       463,        12,    79.347,       463,         5,   11476.9,       210,     11273,       190,        58,        52,         0,         0,   270.736,       298,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       960,       331
        10,   411.101,         8,        10,        38,        13,1.02543e+06,        95,   441.528,       839,   749.061,      2482,        21,   563.828,      2482,         5,   18151.7,       374,     17782,       329,       102,        93,         0,         0,    535.28,       624,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       960,       331
        25,    610.47,        24,        29,       128,        34,1.03072e+06,       110,   990.845,      1758,   3908.19,     11777,         5,   3545.79,     11777,         6,   52116.2,       845,     50645,       955,       142,       388,         0,         0,   1512.32,      1383,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       960,       331
        50,   751.104,        38,        58,       292,        60,1.03038e+06,       135,   1198.34,      2714,   6379.68,     19981,         5,   6199.07,     19981,         5,   71379.4,      1282,     69830,      1468,       188,       624,         0,         0,   2210.18,      2245,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       960,       331
         1,   24.0832,         1,         1,         2,         1,   88073.3,        81,     2.916,        12,      0.03,         1,         6,     4.713,         1,         4,     0.425,         6,         0,         0,         0,         0,         0,         0,     0.646,         6,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       329,       504
         5,   120.416,         5,         5,        10,         5,1.00481e+06,      1210,     90.83,       282,     9.245,        79,         6,    11.046,        79,         4,    2062.9,        63,      2041,        22,        15,         3,         0,         0,    57.662,        81,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       329,       504
        10,   158.685,        10,        10,        22,        10,1.01254e+06,      3458,   204.374,       437,     27.55,       235,         5,    26.122,       235,         4,   6440.36,       121,      6371,        74,        31,        30,         0,         0,   200.567,       264,   18971.3,     21928,     12270,     17194,      8190,         0,         0,        82,        12,      8160,       329,       504
