         k,      dist,      rank,  max_rank,      vnum,   tot_hit, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,rtree_cost, cost_poly,  gen_poly, sort_cost,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices,         x,         y
         1,   140.186,         2,         2,         2,         2,1.00598e+06,      2161,    97.769,       132,    62.864,        48,         5,    23.505,        48,         6,   327.331,        12,       319,         5,         1,         0,         0,         0,     2.197,         8,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       933,       557
         5,   189.528,         5,         5,        23,         6,1.00546e+06,       112,    173.88,       265,    60.205,       153,         5,    37.977,       153,         6,   6202.85,        98,      6057,        90,        12,        24,         0,         0,   217.277,       185,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       933,       557
        10,   327.192,        15,        15,        53,        15,1.00701e+06,       117,   699.042,      1139,   702.369,      1336,         6,   496.033,      1336,         7,   14481.6,       278,     14187,       264,        34,        59,         0,         0,   539.684,       514,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       933,       557
        25,   420.918,        21,        30,       170,        33,1.01109e+06,       132,   1599.96,      2480,   1224.01,      3271,         5,    1052.3,      3271,         6,     32065,       593,     31259,       610,        77,       194,         0,         0,   1978.15,      1681,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       933,       557
        50,   578.096,        56,        56,       381,        59,1.01268e+06,       157,   2497.76,      4304,   2494.45,      7111,         6,   2342.39,      7111,         6,     58428,      1047,     57079,      1284,       114,       589,         0,         0,   3848.68,      3483,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       933,       557
         1,   43.1766,         1,         1,         3,         1,    807517,      1881,    19.266,        42,     3.996,        13,         5,     8.595,        13,         6,   372.178,        13,       361,         7,         1,         0,         0,         0,     6.092,        10,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       876,       661
         5,   239.632,        10,        10,        17,        10,1.00596e+06,       111,   477.328,       826,   455.394,      1011,         4,   320.448,      1011,         6,    7475.5,       127,      7351,       129,        22,        42,         0,         0,   348.438,       366,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       876,       661
        10,   304.382,        13,        13,        58,        15,1.00699e+06,       116,   950.978,      1562,   660.557,      1595,         5,   492.916,      1595,         6,   18591.9,       284,     18203,       311,        45,       108,         0,         0,   1069.85,       946,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       876,       661
        25,   430.549,        33,        33,       204,        34,1.01088e+06,       131,   1705.59,      2862,   1429.61,      3977,         8,   1192.06,      3977,         6,   39206.1,       680,     38295,       712,        88,       235,         0,         0,   2333.63,      2146,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       876,       661
        50,    541.82,        51,        54,       484,        56,1.01093e+06,       156,   2191.55,      3893,   2496.66,      7422,         7,   2258.64,      7422,         6,   62816.1,      1019,     61393,      1217,       129,       539,         0,         0,   3387.88,      3257,   21481.8,     23585,     16044,     20355,     10425,         0,         0,       106,        79,     10590,       876,       661
