         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
         5,   12669.7,         5,         5,        39,1.04276e+06,       117,    7544.4,     14835,   504.819,      1538,   25600.7,       464,     25095,       490,        54,       110,         0,         0,   4038.39,      4648,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,   8120.65,         5,         5,        37,1.02374e+06,       115,   2072.68,      5140,   204.617,       709,   38656.8,       599,     37992,       646,        73,       157,         0,         0,   1391.39,      1866,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,   14089.5,         5,         5,        71,1.04008e+06,       115,   8277.68,     18026,   530.638,      1806,   98685.7,      1588,     96854,      1732,       228,       444,         0,         0,   5040.27,      6033,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,   12202.6,         5,         5,        45,1.0373e+06,       115,   5582.72,     13099,   381.931,      1316,   40234.1,      1041,     39252,      1085,       133,       231,         0,         0,   4445.09,      4963,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,     10726,         5,         5,        51,1.17208e+06,       115,    3861.9,      9313,   301.591,      1081,   54603.7,       958,     53706,      1028,       122,       246,         0,         0,   2465.77,      3270,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,   13982.1,         5,         5,        68,1.03255e+06,       115,   8270.39,     17675,   475.797,      1661,   54282.8,      1198,     52929,      1406,       146,       418,         0,         0,   5455.43,      6044,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,   16158.3,         5,         5,        88,1.0436e+06,       115,     15190,     24098,   1119.66,      3863,    129408,      2736,    125914,      2739,       346,       453,         0,         0,    4835.1,      6142,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,   10086.8,         5,         5,        42,1.03045e+06,       115,   3454.38,      8547,   163.021,       576,   47420.4,       384,     46988,       467,        50,       160,         0,         0,    2527.2,      3032,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,   16400.7,         5,         5,        50,1.03347e+06,       115,   8156.16,     18146,   520.913,      1844,   58167.6,      1456,     56701,      1512,       185,       316,         0,         0,   6184.29,      6372,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
         5,   8329.77,         5,         5,        48,1.31635e+06,       115,   1993.04,      5079,   244.771,       856,   27580.9,       620,     26971,       655,        79,       159,         0,         0,   1194.57,      1527,    504313,    390968,    188905,    350911,    134320,         0,         0,       110,      8385,    109171
