         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
         5,   23366.5,         5,         5,        82,1.01089e+06,        16,   36107.1,     57108,   1353.93,      3595,   41219.2,      3352,     37554,      3560,       376,       725,         0,         0,   22841.8,     20114,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,   48471.4,         5,         5,       150,1.03169e+06,        16,    174163,    210800,   8903.16,     19701,    176336,     15301,    158772,     15793,      1612,      2584,         0,         0,    115958,     92996,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,   39753.6,         5,         5,       145,1.01896e+06,        16,   81253.5,    125019,   6993.31,     18697,    178188,     15450,    161396,     15925,      1708,      2666,         0,         0,   53003.3,     52277,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,   28564.3,         5,         5,        94,1.01315e+06,        16,   48866.3,     84410,   1883.08,      5827,   60074.5,      5321,     54806,      5516,       608,       989,         0,         0,   33867.3,     35989,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,   27858.2,         5,         5,        95,1.01149e+06,        16,   32486.6,     60779,   1836.79,      5788,   56413.1,      5214,     51368,      5218,       612,       812,         0,         0,   26757.1,     28720,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,   34395.9,         5,         5,        97,1.01391e+06,        16,   55352.7,     94843,      1967,      6169,   53853.6,      5016,     48849,      5090,       585,       824,         0,         0,   51421.6,     46057,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,   63821.9,         5,         5,       267,1.03199e+06,        16,    185709,    234472,     23540,     55925,    541280,     40275,    490834,     42842,      4381,      8092,         0,         0,    178181,    123904,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,   44582.5,         5,         5,       224,1.0275e+06,        16,    141606,    189843,     11248,     29076,    254380,     19074,    232073,     20769,      2119,      4402,         0,         0,   76003.9,     67298,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,   33724.7,         5,         5,        87,1.01999e+06,        16,   81518.2,    127075,   4411.91,     11805,   84564.2,      8112,     76359,      7969,      1003,      1127,         0,         0,   45515.1,     47290,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
         5,     39960,         5,         5,       171,1.01493e+06,        16,   75105.7,    119159,   7454.96,     19981,    190456,     16171,    172741,     16304,      1769,      2399,         0,         0,   47750.9,     47113,    418857,    412384,    188905,    374585,    134320,         0,         0,        11,      8385,    109171
