         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
         5,   4009.71,         5,         5,        32,1.21058e+06,      1097,   452.444,      1145,    94.044,       294,   21923.9,       180,     21749,       175,        27,        40,         0,         0,   260.065,       304,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   2599.06,         5,         5,        20,1.00072e+06,      2362,   178.448,       443,    28.626,       159,   8548.67,        76,      8485,        73,         8,        23,         0,         0,   164.331,       180,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   4209.87,         4,         5,        34,2.0598e+06,      1097,   355.092,      1038,    52.402,       216,   13848.6,       157,     13701,       168,        17,        50,         0,         0,   253.168,       359,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   4064.39,         5,         5,        32,1.19878e+06,      1097,   394.398,      1114,    68.523,       230,   18889.1,       176,     18726,       182,        26,        51,         0,         0,    364.21,       386,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   4173.34,         6,         6,        30,1.19414e+06,      1097,   419.117,      1194,     65.84,       234,   16988.6,       165,     16838,       174,        19,        53,         0,         0,   348.689,       482,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   4159.44,         5,         5,        24,1.41858e+06,      1097,   338.258,      1051,    42.336,       174,   14891.6,       118,     14783,       138,        14,        53,         0,         0,   296.971,       436,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   4992.63,         5,         5,        30,1.69459e+06,      1098,   597.798,      1699,     72.38,       217,   16196.4,       184,     16030,       190,        28,        56,         0,         0,   519.217,       616,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   8618.79,         5,         5,        41,1.28139e+06,      1097,   1696.56,      3265,   550.591,      1994,   55985.7,       578,     55422,       604,        58,       120,         0,         0,   1808.51,      1699,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   6630.92,         6,         6,        30,1.26956e+06,      1097,   1477.49,      3526,   188.178,       683,   36686.7,       339,     36378,       368,        48,       103,         0,         0,    960.34,      1316,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   3700.78,         5,         5,        24,1.00203e+06,      2659,   272.815,       754,    35.082,       149,   7435.29,       117,      7337,       117,        19,        38,         0,         0,   196.023,       282,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   4012.64,         4,         5,        23,1.00234e+06,      4777,   312.131,       864,    37.367,       201,   12364.6,       166,     12244,       146,        23,        33,         0,         0,   188.133,       291,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
         5,   3644.02,         6,         6,        25,1.00082e+06,      3590,   224.217,       738,    43.008,       209,   15289.3,       157,     15165,       139,        26,        31,         0,         0,   202.607,       284,    487458,    363304,    188905,    316262,    134320,         0,         0,      1092,      8385,    109171
