         k,      dist,      rank,  max_rank,      vnum, cost_edbt,  gen_edbt,   cost_ki,    gen_ki,  cost_ffp,   gen_ffp,   cost_hi,    gen_hi,     hcost,     hcall,    hreuse,reevaluate,   cost_fc,    gen_fc,   cost_fi,    gen_fi,  cost_pre,   gen_pre,   edgecnt,  fencecnt,    keycnt,      miss,false_retrieval,       pts,     polys,  vertices
         5,   1662.62,         3,         7,        16,    608703,      2963,    72.187,       175,    27.657,       168,   44184.1,        58,     44129,        39,         7,         8,         0,         0,    53.445,        63,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   1399.93,         4,         5,        16,    452750,      1739,    59.243,       138,    13.659,        85,   41337.5,        50,     41294,        35,         9,         9,         0,         0,    56.481,        69,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   843.371,         5,         5,        10,    215660,       330,    14.582,        53,     3.605,        38,   20681.1,        32,     20666,        16,         5,         5,         0,         0,    17.194,        32,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   954.317,         7,         7,        15,    391871,      1777,     28.47,        78,    28.659,       132,   22159.8,        36,     22128,        24,         4,         7,         0,         0,    33.721,        46,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   1703.31,         6,         6,        23,    829607,      4364,    60.057,       182,    56.294,       266,   32109.9,        70,     32050,        58,         9,        13,         0,         0,    90.997,        84,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   1600.62,         4,         5,        17,    431378,      4133,    46.745,       140,    14.879,        91,   38252.4,        51,     38210,        45,         6,        16,         0,         0,    62.867,        73,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   1038.58,         4,         6,        13,   76954.1,       681,    20.902,        53,    11.833,        83,   22362.7,        38,     22338,        23,         5,         9,         0,         0,    36.261,        53,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   1903.45,         5,         5,        19,    151773,      1031,    51.386,       157,    10.205,        70,   17587.4,        43,     17554,        36,         2,        16,         0,         0,    59.022,        87,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   1053.35,         7,         7,        11,    185745,       861,    27.776,        83,    15.487,        99,   20158.1,        35,     20132,        25,         2,        10,         0,         0,    48.704,        49,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   1364.35,         8,         8,        15,    100934,       682,     25.31,        82,    14.341,       113,   6220.66,        34,      6200,        20,         4,         7,         0,         0,    25.666,        42,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   961.803,         5,         5,        13,   73203.5,       383,    25.545,        71,     5.979,        52,     11650,        37,     11625,        23,         7,        10,         0,         0,    31.277,        47,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,   1478.47,         5,         5,        13,    132246,       609,     31.03,       100,      7.19,        51,   19221.5,        35,     19195,        24,         2,         8,         0,         0,    35.321,        42,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
         5,    1251.7,         6,         6,        17,    140516,       923,    29.066,        89,    11.832,        93,   30411.2,        41,     30377,        31,         5,        12,         0,         0,    35.945,        54,    581695,    417740,    188905,    318140,    134320,         0,         0,     10918,      8385,    109171
